Country	Area	Location	Month	Year	Time	Sex	Age	Type	Injury Categories	Species
AUSTRALIA	Western Australia	Bathurst Reef, Rottnest Island	Apr	1965	unknown	M	40	Unprovoked	Limbs bitten	1.8 m [6'] carpet shark
JOHNSTON ISLAND	unknown	unknown	Apr	1965	14h00	M	unknown	Unprovoked	Minor injury	Grey reef shark
AUSTRALIA	South Australia	Cape Jervis	Apr	1965	10h30	unknown	unknown	Boat	Minor injury	15' shark
AUSTRALIA	Queensland	Near Brisbane	Apr	1965	unknown	M	43	Provoked	Lethal	4.6 m [15'] shark
PACIFIC OCEAN 	250 miles southwest of O'ahu, Hawaii	Japanese fishing boat Taihei Maru No.10	Apr	1965	23h30	M	44	Unprovoked	Limbs bitten	unknown
AUSTRALIA	Queensland	Oak Beach	Apr	1965	16h30	M	24	Unprovoked	Puncture wounds	Grey nurse shark, 2.4 m [8'] 
unknown	unknown	Florida Strait	Apr	1965	unknown	M	39	Unprovoked	No details	unknown
BAHAMAS	New Providence Island	Nassau	Apr	1965	unknown	M	32	Unprovoked	Limbs bitten	1.8 m [6'], 180-lb shark
BAHAMAS	New Providence Island	Nassau	Mar	1965	unknown	F	unknown	Unprovoked	Lethal	1.8 m [6'], 180-lb shark
NEW BRITAIN	West coast	Outside the reef off Moputu Village, near Talasea	Mar	1965	unknown	M	15	Unprovoked	Lethal	2 sharks involved
PAPUA NEW GUINEA	New Britain	unknown	Mar	1965	unknown	M	27	Unprovoked	Severe	unknown
PAPUA NEW GUINEA	Madang Province	Sek Harbor	Mar	1965	unknown	M	unknown	Provoked	Lacerations	"""small shark"""
PAPUA NEW GUINEA	East Sepik	Moem Village near Wewak	Mar	1965	14h00	M	unknown	Provoked	Limbs bitten	0.9 m [3'] shark
MEXICO	Veracruz	Playa Villa del Mar	Mar	1965	18h00	M	23	Unprovoked	Limbs bitten	300-kg [662-lb] shark
USA	New Jersey	Steel Pier, Atlantic City, Atlantic County	Feb	1965	17h30	M	15	Unprovoked	Lacerations	unknown
BAHAMAS	Bimini Islands	Lerner Marine Lab	Feb	1965	unknown	M	unknown	Provoked	Limbs bitten	Lemon shark, 0.5 m
MEXICO	Veracruz	Mocambo	Feb	1965	17h00	M	25	Unprovoked	Lethal	unknown
BERMUDA	Hamilton	unknown	Feb	1965	unknown	unknown	unknown	Boat	Limbs bitten	unknown
MEXICO	Veracruz	Mocambo	Jan	1965	14h00	M	38	Unprovoked	Limbs bitten	unknown
PAPUA NEW GUINEA	Near Bougainville (North Solomons)	Huhunoti Island	Jan	1965	unknown	M	unknown	Unprovoked	Minor injury	unknown
SOUTH PACIFIC OCEAN	unknown	unknown	Jan	1965	Morning	M	unknown	Unprovoked	Lethal	 
MEXICO	Veracruz	Playa Mocambo	Jan	1965	12h00	M	unknown	Unprovoked	Lethal	unknown
MEXICO	Veracruz	Playa Mocambo	Jan	1965	unknown	M	unknown	Unprovoked	Lethal	unknown
EGYPT	unknown	unknown	Jan	1965	unknown	M	unknown	Unprovoked	Limbs bitten	unknown
JAMAICA	unknown	unknown	Jan	1965	unknown	M	unknown	Unprovoked	Minor injury	unknown
MEXICO	Veracruz	Mocambo	Jan	1965	unknown	M	35	Unprovoked	Limbs bitten	unknown
USA	Florida	Hobe Sound, Martin County	Jan	1965	15h00	M	49	Unprovoked	Minor injury	Bull shark
USA	Florida	American Shoals off Key West	Jan	1965	11h00	M	28	Unprovoked	Lacerations	White shark, 10' to 12' 
PALAU	Western Caroline Islands	Koror	Apr	1965	15h30	M	8	Unprovoked	Limbs bitten	Tiger shark, tooth fragment recovered
USA	Florida	Juno Beach, Palm Beach County	Apr	1965	07h15	M	17	Unprovoked	Lacerations	Blacktip or spinner shark
USA	Florida	Pompano Beach, Palm Beach County	Dec	1965	13h30	M	16	Unprovoked	No details	Mako shark
SOUTH AFRICA	KwaZulu-Natal	Amatikulu	Dec	1965	15h00 or 15h45	M	25	Unprovoked	Limbs bitten	1.8 m [6'], 136-kg [300-lb] shark 
USA	Massachusetts	Granite Pier, Rockport	Dec	1965	14h30	M	18	Unprovoked	Puncture wounds	1.2 m [4'] shark
SOUTH AFRICA	KwaZulu-Natal	Country Club Beach, Durban	Dec	1965	13h00	M	22	Unprovoked	Limbs bitten	White shark, 3.7 m [12'] 
SOUTH AFRICA	KwaZulu-Natal	Country Club Beach, Durban	Nov	1965	16h40	M	20	Unprovoked	Puncture wounds	unknown
AUSTRALIA	Victoria	East of Station Pier, Port Melbourne	Nov	1965	unknown	M	unknown	Unprovoked	Lacerations	1.5 m [5'] shark
NEW GUINEA	Central Province	Off Gaire Village	Nov	1965	unknown	M	30	Unprovoked	Lethal	4.9 m [16'] whaler
USA	Texas	Port Lavaca, Calhoun County	Nov	1965	unknown	M	13	Unprovoked	Limbs bitten	unknown
USA	California	Dana Point, San Clemente, Orange County	Nov	1965	unknown	M	Teen	Provoked	Puncture wounds	unknown
USA	Florida	Between Palm  & Salerno Inlets, Martin County	Nov	1965	unknown	M	unknown	Provoked	Minor injury	Nurse shark, 0.94 m to 1.2 m [3' to 4'] 
RED SEA	East of the Gulf of Aqaba	unknown	Oct	1965	unknown	M	unknown	Unprovoked	Limbs bitten	Small shark with white-tipped dorsal fin
EGYPT	unknown	South of Hurghada	Oct	1965	unknown	M	25 to 35	Unprovoked	Limbs bitten	1.5 m to 2.1 m [5' to 7'] shark, possibly a mako shark
VANUATU	Malampa Province	Island of Paam'a	Oct	1965	unknown	M	unknown	Unprovoked	Lethal	unknown
SOUTH AFRICA	Eastern Cape Province	Port Alfred	Oct	1964	17h00	M	19	Unprovoked	Lacerations	Raggedtooth shark 
PAPUA NEW GUINEA	Bougainville (North Solomons)	Buka Island	Sep	1964	unknown	M	unknown	Unprovoked	Lacerations	unknown
AUSTRALIA	New South Wales	Port Jervis	Sep	1964	10h30	unknown	unknown	Boat	Limbs bitten	4.6 m [15'] shark
PAPUA NEW GUINEA	Bougainville (North Solomons)	Off Sing Village, Buka Island	Sep	1964	Late afternoon	M	28	Unprovoked	No details	2.1 m [7'] shark
KENYA	Coast Province	Kilindini Harbor, Mombasa	Aug	1964	unknown	M	10	Unprovoked	Lethal	unknown
AUSTRALIA	Victoria 	Lady Julia Percy Island	Aug	1964	14h30	M	25	Unprovoked	Severe	White shark, 2.4 m [8'] 
AUSTRALIA	Queensland	Fingal Beach, near Tweed Heads	Aug	1964	13h30	M	29	Unprovoked	Lethal	unknown
AUSTRALIA	New South Wales	North Solitary Island, 8 miles from Wolli	Aug	1964	unknown	M	25	Provoked	No details	"White shark, 2.7 m [9'1""], 750-lb "
USA	Puerto Rico	unknown	Aug	1964	18h00	unknown	unknown	Boat	Limbs bitten	Mako shark
SOUTH AFRICA	KwaZulu-Natal	Umkomaas	Aug	1964	unknown	M	unknown	Provoked	Limbs bitten	unknown
AUSTRALIA	Western Australia	Avalon Beach, near Mandurah, 50 miles south of Perth	Aug	1964	09h30	M	19	Unprovoked	Minor injury	Grey nurse shark, 1.8 m [6']
TAIWAN	Northern Taiwan	Tamsui Beach, Taipai	Aug	1964	14h00	M	32	Unprovoked	Lethal	unknown
TAIWAN	Northern Taiwan	Tamsui Beach	Jul	1964	13h30	M	20	Unprovoked	Limbs bitten	1.8 m [6'] shark
USA	Florida	Hollywood Beach, Broward County	Jul	1964	14h30	M	14	Unprovoked	Minor injury	unknown
MEXICO	Guerrero	Acapulco	Jul	1964	14h00	M	19	Unprovoked	Limbs bitten	1.8 to 2.4 m [6' to 8'] shark
USA	Florida	Panama City, Bay County	Jun	1964	11h30	M	unknown	Unprovoked	Minor injury	3' shark
USA	Florida	2 miles off Jupiter, Palm Beach County	Jun	1964	12h00	M	28	Unprovoked	Minor injury	Hammerhead shark
JAPAN	Okayama Prefecture	Saidaiji	Jun	1964	unknown	M	12	Unprovoked	Limbs bitten	unknown
PANAMA	San Blas	Off Achutuppu Island near Ailigandi	Jun	1964	unknown	M	21	Unprovoked	Lacerations	Less than 1.2 m [4']
USA	Puerto Rico	unknown	Jun	1964	11h00	M	22	Provoked	Lacerations	Nurse shark
SOUTH AFRICA	KwaZulu-Natal	Island Rock	Jun	1964	unknown	M	30	Unprovoked	Minor injury	Zambesi shark
USA	Florida	Palm Beach, Palm Beach County	May	1964	unknown	M	unknown	Provoked	Limbs bitten	white shark
PAPUA NEW GUINEA	New Ireland Province	A reef off New Hanover (Northern end)	May	1964	unknown	M	unknown	Unprovoked	Lethal	unknown
PAPUA NEW GUINEA	New Ireland Province	Southern end	May	1964	unknown	unknown	unknown	Boat	Minor injury	unknown
BERMUDA	Hamilton	2 miles south of Castle Island Harbour entrance to Hamilton	Apr	1964	unknown	unknown	unknown	Sea Disaster	No details	unknown
USA	California	Long Beach, Los Angeles County	Apr	1964	unknown	unknown	unknown	Boat	Minor injury	2.1 m [7'] shark
PAPUA NEW GUINEA	New Britain	Near Rabaul	Apr	1964	unknown	M	unknown	Boat	Minor injury	2.4 m [8'] shark
FIJI	Lau Group	Tovu, Totoya Island	Apr	1964	unknown	M	23	Unprovoked	Limbs bitten	unknown
PANAMA	Caribbean Coast	unknown	Apr	1964	unknown	M	47	Unprovoked	Minor injury	Lemon shark 
FIJI	Vita Levu	Naviti	Apr	1964	11h30	M	35	Unprovoked	Lethal	Tiger shark
PANAMA	San Blas Islands	Achutupu, a small island ner Ailigandi	Apr	1964	unknown	M	13	Unprovoked	Lethal	1.8 m [6'] shark
PAPUA NEW GUINEA	Madang Province	Inshore side of reef near Madang	Apr	1964	unknown	M	unknown	Unprovoked	Lethal	unknown
AUSTRALIA	South Australia	Surfers Paradise Beach near Victor Harbour	Apr	1964	unknown	M	19	Unprovoked	Lacerations	1.8 m [6'] shark
PAPUA NEW GUINEA	Central Province	30 miles from Port Moresby	Apr	1964	Midnight	M	32	Sea Disaster	Lethal	unknown
USA	Florida	Fort Lauderdale, Broward County	Mar	1964	16h00	M	38	Unprovoked	Minor injury	1.7 m [5.5'] shark
SENEGAL	Cap Vert Peninsula	Bel Air, Dakar	Mar	1964	unknown	M	unknown	Unprovoked	Limbs bitten	3 m shark
FIJI	unknown	Savuli Reef	Feb	1964	unknown	unknown	unknown	Provoked	Limbs bitten	Tiger shark, 3.5 m, 250-lb female
NEW CALEDONIA	unknown	unknown	Feb	1964	unknown	M	15	Unprovoked	Lethal	unknown
FIJI	Vanua Levu	Nailou Village, Tunuloa Natewa Bay	Feb	1964	10h30	M	17	Unprovoked	Lethal	unknown
NEW ZEALAND	North Island	Palliser Bay, Whatarangi (east of Wellington)	Feb	1964	12h00	M	unknown	Unprovoked	Lacerations	unknown
NEW ZEALAND	North Island	West of Pukerua Bay, Wellington	Feb	1964	18h30	M	26	Unprovoked	Limbs bitten	White shark, 3 m [10'] 
SOUTH AFRICA	Western Cape Province	Muizenberg	Feb	1964	08h45	M	25	Unprovoked	Lacerations	White shark, 1.5 m [5'] k
NEW ZEALAND	North Island	Hokio Beach, near Levin	Jan	1964	unknown	M	unknown	Unprovoked	Lacerations	"""sand shark"""
NEW ZEALAND	South Island	St. Clair Beach, Dunedin	Jan	1964	06h45	M	19	Unprovoked	Lethal	White shark, 3 m to 3.7 m [10' to 12'] 
NEW ZEALAND	South Island	Ngatuka Bay, near Picton	Jan	1964	12h00	unknown	unknown	Boat	Minor injury	1.8 m [6'] shark
USA	Florida	Palm Beach County	Jan	1964	unknown	M	12	Unprovoked	Minor injury	Hammerhead shark
COSTA RICA	Puntarenas Province	Puntarenas	Jan	1964	unknown	M	unknown	Unprovoked	Lethal	unknown
FIJI	unknown	70 miles from Suva	Jan	1964	unknown	unknown	unknown	Unprovoked	Lethal	unknown
SOUTH AFRICA	Eastern Cape Province	Nahoon	Jan	1964	16h00	M	39	Unprovoked	Limbs bitten	unknown
SOUTH AFRICA	Eastern Cape Province	Nahoon	Jan	1964	11h00	M	17	Unprovoked	Limbs bitten	unknown
SOUTH AFRICA	Western Cape Province	20 m from shore at Strand	Jan	1964	11h00	unknown	unknown	Boat	Minor injury	"White shark, 3.6 m [11'9""] "
AUSTRALIA	Western Australia	Hamelin Bay	Jan	1964	unknown	M	unknown	Unprovoked	Lacerations	Wobbegong
USA	California	Southeast Farallon Island	Jan	1964	12h00	M	21	Unprovoked	Limbs bitten	White shark (tooth fragment recovered)
PAPUA NEW GUINEA	New Britain	unknown	Jan	1964	unknown	M	unknown	Unprovoked	Lethal	Tiger shark
FIJI	Lomaloma, Lau	Tuvuca Isalnd	Jan	1964	15h00	F	20	Unprovoked	Lacerations	unknown
AUSTRALIA	Western Australia	Metro coast	Jan	1964	unknown	unknown	unknown	Unprovoked	No details	unknown
SOUTH AFRICA	Western Cape Province	Mossel Bay	Jan	1964	19h00 / 20h00	M	unknown	Unprovoked	Lacerations	2.1 m to 2.4 m  [7' to 8'] shark
SOUTH AFRICA	KwaZulu-Natal	Catfish Rock, between Salt Rock & Shaka’s Rock	Dec	1963	14h00	F	20	Unprovoked	Lacerations	Zambesi shark, 1.8 m [6'] 
SOUTH AFRICA	KwaZulu-Natal	Umhlanga Rocks	Dec	1963	15h00	M	24	Unprovoked	Limbs bitten	1.8 m [6']  shark
AUSTRALIA	Queensland	Figtree Ledge, Hervey Bay	Dec	1963	Dawn	M	unknown	Unprovoked	Minor injury	4.3 m [14'], 1000-lb shark
SOUTH AFRICA	Eastern Cape Province	Gonubie River Mouth	Dec	1963	15h45	M	18	Unprovoked	Lethal	unknown
SOUTH AFRICA	KwaZulu-Natal	Next to West Street groyne, Durban	Dec	1963	18h30	M	13	Provoked	Lacerations	Dusky shark, 1 m 
AUSTRALIA	New South Wales	Woolgoolga, Coffs Harbour	Dec	1963	unknown	M	unknown	Provoked	Puncture wounds	Wobbegong shark, 3' 
SOUTH AFRICA	Western Cape Province	Hartenbos	Nov	1963	12h00	M	unknown	Unprovoked	Lacerations	White shark, 1.7 m [5.5']
SOUTH AFRICA	KwaZulu-Natal	Umvoti	Nov	1963	12h40	M	15	Unprovoked	Lethal	300- to 400-lb Zambesi shark
AUSTRALIA	South Australia	55 miles south of Adelaide	Nov	1963	12h45	M	23	Unprovoked	Lacerations	White shark
NEW BRITAIN	South Coast, East New Britain	Pomio	Nov	1963	unknown	M	22	Unprovoked	Lethal	Tiger shark
NEW ZEALAND	South Island	Charteris Bay, Lyttleton Harbour	Nov	1963	13h00	M	20	Unprovoked	Minor injury	Possibly a broadnose 7-gill shark
PAPUA NEW GUINEA	Gulf Province	Kukipi, 150 miles west of Port Moresby in the Lakekamu River area	Nov	1963	14h00	F	18	Provoked	Lacerations	Tiger shark
FIJI	 Lau Province	Dravuwalu, Totoya Island	Nov	1963	11h00	F	21	Unprovoked	Limbs bitten	>1.2 m [4'] tiger shark
FIJI	Vita Levu	Rewa River	Nov	1963	14h00	M	25	Unprovoked	Limbs bitten	unknown
ITALY	Sicily	Off Mondello Lighthouse	Oct	1963	unknown	M	28	Unprovoked	Minor injury	unknown
AUSTRALIA	Queensland	Mermaid Beach	Oct	1963	unknown	M	unknown	Provoked	Limbs bitten	"White shark, 15'2"" "
USA	Florida	8 miles south of Elliot Key, Miami-Dade County	Oct	1963	11h40	M	unknown	Provoked	Minor injury	Silky shark, 1.9 m [6.5']
PAPUA NEW GUINEA	New Britain	unknown	Oct	1963	unknown	M	unknown	Unprovoked	Lacerations	6' shark
PALAU	Western Caroline Islands	Koror	Oct	1963	03h00	M	35	Unprovoked	Lacerations	Dooley believed his Injury was caused by stingray (Dasyatidae family)
USA	Florida	Biltmore Beach, near Panama City	Sep	1963	17h30	M	28	Unprovoked	Lacerations	500-lb shark
NORTH PACIFIC OCEAN	unknown	unknown	Sep	1963	unknown	M	20	Provoked	Lacerations	unknown
CHILE	unknown	El Panul, 12km south of Coquimbo	Sep	1963	11h00	M	unknown	Unprovoked	Lethal	White shark, 4 m [13'] rk
SOLOMON ISLANDS	Ysabel Island	Susukana Plantation	Sep	1963	13h00	M	30	Unprovoked	Lethal	5.5 m [18'] shark
AUSTRALIA	New South Wales	Wanda Beach	Sep	1963	09h30	M	18	Provoked	Limbs bitten	1.5 m [5'] shark
USA	Florida	Snapper Point Jetty, Miami, Dade County	Aug	1963	13h30	M	16	Provoked	Minor injury	Nurse shark, 1.2 m [4'] 
DOMINICAN REPUBLIC	Santo Domingo	Rio Haina Port	Aug	1963	unknown	M	23 & 26	Unprovoked	Lethal	8 sharks
FEDERATED STATES OF MICRONESIA	Eastern Caroline Islands	Koop Reef, Truk (Chuuk)	Aug	1963	08h00	M	26	Unprovoked	Limbs bitten	Tiger shark
USA	Florida	New Smyrna Beach, Volusia County	Aug	1963	Late afternoon	M	14	Unprovoked	Limbs bitten	unknown
USA	Mississippi	Horn Island	Aug	1963	unknown	M	24	Provoked	Minor injury	1.2 m [4'] shark
JAMAICA	unknown	unknown	Aug	1963	unknown	unknown	unknown	Sea Disaster	Lethal	unknown
PANAMA	San Blas coast	4 miles from Tuwala, near Mulatuppu	Aug	1963	unknown	M	unknown	Unprovoked	Lethal	unknown
GREECE	Thessaly	near Trikerion Island	Aug	1963	16h30	F	42	Unprovoked	Lethal	White shark, 3 m 
PAPUA NEW GUINEA	Central Province	Near Fisherman's Island	Jul	1963	Morning	M	30	Provoked	Limbs bitten	1.8 m [6'] shark
PHILIPPINES	Luzon Island	100 miles southeast of Manila	Jul	1963	unknown	unknown	unknown	Sea Disaster	Lethal	unknown
AUSTRALIA	New South Wales	Clarence Head	Jul	1963	unknown	M	unknown	Provoked	Lacerations	Grey nurse shark
USA	US Virgin Islands	St. Thomas, Magens Bay	Jul	1963	13h50	M	25	Unprovoked	Lethal	"Hand found in gut of 2.9 m to 3.3 m [9'7"" to 10'11""] Galapagos shark, C. galapagensis"
SOUTH AFRICA	KwaZulu-Natal	Amanzimtoti	Jul	1963	12h45	M	15	Unprovoked	Limbs bitten	unknown
AUSTRALIA	Western Australia	Yallingup	Jul	1963	unknown	M	25	Unprovoked	Limbs bitten	1.8 m to 2.4 m  [6' to 8'] shark
USA	Hawaii	Awili, South Kona, Hawai'i	Jul	1963	14h00	M	15	Unprovoked	Limbs bitten	3.7 to 4.5 m [12' to 15'] shark seen in vicinity
SOLOMON ISLANDS	Bougainville (North Solomons)	unknown	Jul	1963	Night	M	unknown	Sea Disaster	Lethal	unknown
PAPUA NEW GUINEA	New Ireland Province	Namatanai	Jun	1963	11h00	M	unknown	Unprovoked	Limbs bitten	unknown
AUSTRALIA	New South Wales	Wombarra Beach near Austinmeer	Jun	1963	Afternoon	M	18	Unprovoked	Lacerations	Bronze whaler shark, 3 m [10'] 
FIJI	Lomaiviti  Island Group	Taibaisa Passage, Gau Island	Jun	1963	10h00	M	28	Unprovoked	Limbs bitten	White shark, 2.1 m [7'] 
MAURITIUS	Rodrigues	unknown	May	1963	unknown	M	24	Unprovoked	Lacerations	unknown
FIJI	unknown	unknown	May	1963	unknown	M	41	Unprovoked	Lacerations	unknown
AUSTRALIA	New South Wales	Sugarloaf Bay, Middle Harbour, Sydney	May	1963	13h30	F	32	Unprovoked	Lethal	Tooth fragments of “whaler” shark were recovered, a bull shark, according to Edwards
SOUTH AFRICA	Western Cape Province	False Bay	Apr	1963	unknown	unknown	unknown	Boat	Minor injury	193-lb shark
NEW ZEALAND	North Island	Petone Beach, Wellington	Apr	1963	Afternoon	unknown	14	Provoked	Lacerations	Grey nurse shark, 1.8 m [6'] 
SOUTH AFRICA	Eastern Cape Province	Humewood	Apr	1963	unknown	M	unknown	Provoked	Limbs bitten	<1.5 m shark
SOUTH AFRICA	KwaZulu-Natal	Peace Cottage, Umdhloti	Apr	1963	12h15	M	27	Unprovoked	Lacerations	1 m shark
SOUTH AFRICA	KwaZulu-Natal	Selection Reef, Umdhloti	Mar	1963	16h00	M	24	Unprovoked	Lacerations	"Zambesi shark, 2 m [6'9""] "
AUSTRALIA	South Australia	Off Franklin Island between Streaky Bay & Ceduna	Mar	1963	unknown	unknown	unknown	Provoked	Minor injury	White shark, 16', 2,312-lb 
MOZAMBIQUE	unknown	Limpopo River, 547 km from the sea	Mar	1963	unknown	unknown	unknown	Boat	Minor injury	Zambesi shark
FIJI	Vita Levu	Korolevu (South coast between Nadi & Suva)	Feb	1963	unknown	unknown	unknown	Unprovoked	No details	unknown
SEYCHELLES	unknown	unknown	Feb	1963	unknown	M	unknown	Unprovoked	Lethal	unknown
SOUTH AFRICA	KwaZulu-Natal	Shark tank at Oceanographic Research Institute	Feb	1962	10h30	M	unknown	Provoked	Limbs bitten	Dusky shark, 1 m 
AUSTRALIA	South Australia	Carrickalinga Head	Feb	1962	14h30	M	16	Unprovoked	Lethal	White shark, 4.3 m [14'] (or bronze whaler)
SOUTH AFRICA	Western Cape Province	Swartklip	Feb	1962	unknown	unknown	unknown	Boat	Minor injury	"2 m [6'9""], 87.5-kg [193-lb]  shark"
AUSTRALIA	New South Wales	Sydney	Jan	1962	unknown	M	26	Unprovoked	Limbs bitten	3 m [10'] shark
USA	California	Farallon Islands	Jan	1962	12h45 / 13h45	M	24	Unprovoked	Limbs bitten	White shark, 4.3 m to 4.9m [14' to 16']
AUSTRALIA	New South Wales	Off Kisma	Jan	1962	unknown	unknown	unknown	Boat	Minor injury	3 m [10'] blue whaler
MID ATLANTIC OCEAN	unknown	Off Bermuda	Jan	1962	06h00	M	unknown	Sea Disaster	Limbs bitten	unknown
SOUTH AFRICA	KwaZulu-Natal	Paradise Reef	Jan	1962	15h00	M	30	Unprovoked	Lacerations	unknown
MEXICO	Veracruz	Villa del Mar Beach, Veracruz	Jan	1962	08h30	M	32	Unprovoked	Lethal	2.7 m [9'] shark
ADMIRALTY ISLANDS	Manus Island	Sisi  (west coast of island)	Jan	1962	unknown	M	26	Unprovoked	Lacerations	unknown
AUSTRALIA	South Australia	Port Phillip Bay	Jan	1962	unknown	M	unknown	Boat	Limbs bitten	Grey nurse shark
PANAMA	Pinas Bay	unknown	Sep	1962	unknown	M	1	Unprovoked	Lethal	unknown
BRITISH WEST INDIES	Grand Turk Island	Long Cay	Sep	1962	14h30	M	24	Unprovoked	Limbs bitten	 Blacktip shark, C. maculipinnis. 1.9 m to 2.1 m [6.5' to 7'] 
MEXICO	Veracruz	Villa del Mar Beach, Veracruz	Sep	1962	15h00	M	20	Unprovoked	Limbs bitten	unknown
SOUTH ATLANTIC OCEAN	Off coast of West Africa	Off the passenger liner Stirling Castle	Sep	1962	unknown	M	29	Unprovoked	Lethal	unknown
ITALY	Tyrrhenian Sea	Circeo, Secca del Quadro	Sep	1962	10h20	M	28	Unprovoked	Lethal	White shark
ISRAEL	Sharon	2 km north of Apollonia	Aug	1962	unknown	M	unknown	Provoked	No details	2.5 m [8.25'] shark
TURKEY	Antalya Province	Ucagiz	Dec	1962	unknown	M	unknown	Boat	Minor injury	unknown
PAPUA NEW GUINEA	Northern District	Kufulu Point	Dec	1962	Midday	M	49	Provoked	Lacerations	"""A long thin brown-colored shark"""
USA	California	Solana Beach, San Diego County	Dec	1962	08h30	M	39	Provoked	Limbs bitten	Horn shar,k Heterodontus francisci, 1.2 m [4'] 
USA	Florida	6 miles north of Palm Beach	Dec	1962	unknown	unknown	unknown	Boat	Minor injury	unknown
SOUTH AFRICA	Western Cape Province	Robbesteen	Dec	1962	12h00	unknown	unknown	Boat	Limbs bitten	4.3 m [14'] shark
USA	Texas	Off Andy Bowie Park, Padre Island, near Port Isabel	Nov	1962	15h30	M	40	Unprovoked	Lethal	Unknown
USA	New Jersey	Manasquan, Ocean County	Nov	1962	14h00 - 15h00	M	24	Unprovoked	Limbs bitten	1.8 m [6'] shark
PAPUA NEW GUINEA	New Ireland Province, Bismarck Archipelago	Pekinberui Village, Tabar Island	Nov	1962	17h00	M	(adult)	Unprovoked	Lethal	unknown
ITALY	Tyrrhenian Sea	Circeo, Secca del Faro	Oct	1962	unknown	M	unknown	Unprovoked	Minor injury	White shark
SENEGAL	Cap Vert Peninsula	unknown	Oct	1962	unknown	M	23	Unprovoked	Limbs bitten	3.5 m shark
USA	South Carolina	Off Hilton Head, Beaufort County 	Oct	1962	unknown	M	21	Unprovoked	Lacerations	1.8 m to 2.4 m [6' to 8'] shark
MADAGASCAR	unknown	Onboard tuna boat, M.V. Toscui Maru	Oct	1962	Morning	M	20	Provoked	Lacerations	"2 m [6'9""] shark"
USA	California	30 miles south of San Clemente Island	Sep	1962	16h30	M	19	Provoked	Lacerations	Blue shark
USA	Georgia	St. Simons Island or Jeykll Island, Glynn County	Sep	1962	17h00	M	41	Unprovoked	Minor injury	unknown
USA	Georgia	Jekyll Island, Glynn County	Sep	1962	14h10	M	13	Unprovoked	Lacerations	unknown
SOUTH AFRICA	Western Cape Province	Millers Point, False Bay	Jul	1962	21h00	unknown	unknown	Boat	Minor injury	2.7 m to 3 m [9' to 10'] sharks
USA	Florida	New Smyrna Beach, Volusia County	Jul	1962	11h50	M	11	Unprovoked	Lacerations	1.8 m [6'] shark
USA	California	San Francisco Bay	Jul	1962	night	M	31	Unprovoked	Limbs bitten	unknown
USA	California	San Francisco Bay	Jul	1962	Night	M	32	Unprovoked	Lethal	unknown
USA	California	San Francisco Bay	Jul	1962	Night	M	35	Unprovoked	Lethal	unknown
PAPUA NEW GUINEA	Madang Province	Mouth of Suareng River, a mile from Taludig	Jul	1962	Midday	M	unknown	Unprovoked	Lethal	Possibly a bronze whaler shark
USA	South Carolina	Hilton Head, Beaufort County	Jul	1962	16h00	M	13	Unprovoked	Limbs bitten	unknown
AUSTRALIA	Western Australia	Emu Point	Jul	1962	07h00	unknown	unknown	Boat	Limbs bitten	unknown
USA	California	12' tank at Steinhart Aquarium, San Francisco	Jul	1962	13h30	M	55	Provoked	Limbs bitten	 Sevengill  shark, 1.2 m [4'] 
USA	Florida	Riviera Beach, near Palm Beach Inlet, Palm Beach County	Jul	1962	12h00	M	31	Unprovoked	Limbs bitten	unknown
USA	Florida	Jupiter, Palm Beach County	Jul	1962	unknown	M	17	Unprovoked	Limbs bitten	unknown
USA	California	8 miles off Newport Beach, Orange County	Jun	1962	03h45 - 04h00	unknown	unknown	Sea Disaster	Limbs bitten	unknown
FIJI	Viti Levu	Near Suva	Jun	1962	unknown	unknown	unknown	Boat	Limbs bitten	unknown
AUSTRALIA	Queensland	Nobbys Beach	Jun	1962	unknown	unknown	unknown	Provoked	Minor injury	Bronze whaler shark, 3.7 m [12'] 
MOZAMBIQUE	Gaza	Xai Xai	Apr	1962	10h30	M	16	Unprovoked	Limbs bitten	unknown
SOUTH AFRICA	KwaZulu-Natal	Umhlali	Apr	1962	11h30	M	13	Unprovoked	Limbs bitten	Zambesi shark, 1.2 m [4'] 
SOUTH AFRICA	Eastern Cape Province	East London	Apr	1962	unknown	unknown	unknown	Provoked	Limbs bitten	4.9 m [16']shark
NEW ZEALAND	Off the Coromandel Peninsula, North Island	Alderman Islands	Apr	1962	unknown	M	unknown	Provoked	Limbs bitten	1.8 m [6'] shark 
AUSTRALIA	New South Wales	Norah Head	Apr	1962	unknown	unknown	unknown	Boat	Minor injury	Bronze whaler shark, 4.6 m [15'] 
PAPUA NEW GUINEA	Madang	Matukar village 	Feb	1962	Late afternoon	M	10	Unprovoked	Lethal	Possibly a bronze whaler shark
PAPUA NEW GUINEA	Central Province	Fisherman’s Island near Port Moresby	Jan	1962	unknown	M	unknown	Unprovoked	Lacerations	1.2 m  [4'] shark
NEW ZEALAND	Southland	Long Beach	Jan	1962	unknown	M	15	Provoked	Minor injury	1.8 m [6'] shark
AUSTRALIA	Queensland	Between Smith’s Rock & Moreton Island	Jan	1962	A.M.	M	unknown	Unprovoked	Lacerations	3.7 m [12'] shark
SOUTH AFRICA	KwaZulu-Natal	Winkelspruit	Feb	1962	09h00	M	22	Unprovoked	Lethal	unknown
