Country	Area	Location	Month	Year	Time	Sex	Age	Type	Injury Categories	Species
USA	California	Cortes Bank	Jul	2015	08h00	M	57	Provoked	Limbs bitten	Hammerhead shark. 6' to 7'
AUSTRALIA	New South Wales	Evans Head	Jul	2015	06h00	M	52	Unprovoked	Lacerations	White shark
USA	Florida	Daytona Beach, Volusia County	Jul	2015	19h00	M	25	Unprovoked	Minor injury	Blacktip or spinner shark, 4'
AUSTRALIA	Tasmania	Lachan Island, Mercury Passage	Jun	2015	10h00	M	46	Unprovoked	Lethal	White shark
USA	California	La Jolla, San Diego County	Jun	2015	unknown	M	31	Provoked	Limbs bitten	Mako shark, 100-lb
AUSTRALIA	Victoria	Tyrendarra Beach near Portland	Jun	2015	unknown	M	40s	Unprovoked	Limbs bitten	Bronze whaler shark, 1.5m
REUNION	unknown	St. Leu	Jun	2015	unknown	M	45	Unprovoked	Limbs bitten	Bull shark, 2m
SOUTH AFRICA	Eastern Cape Province	Jeffrey's Bay	Jun	2015	unknown	M	34	Unprovoked	Minor injury	White shark
USA	California	Huntington Beach, Orange County	Jun	2015	08h45	M	38	Unprovoked	Minor injury	White shark, 7'
BAHAMAS	Grand Bahama Island	Port Lucaya, Freeport	Jun	2015	unknown	F	23	Unprovoked	Lacerations	6' shark
USA	North Carolina	Off Surf City, Pender County	Jun	2015	Evening	M	32	Unprovoked	Lacerations	unknown
AUSTRALIA	New South Wales	Lennox Head	Jun	2015	09h00	M	52	Unprovoked	Limbs bitten	White shark
AUSTRALIA	New South Wales	East Ballina	Jun	2015	09h00	M	32	Unprovoked	Minor injury	White shark
USA	North Carolina	Ocracoke, Lifeguard Beach, National Park Service, Hyde County	Jun	2015	12h10	M	68	Unprovoked	Minor injury	6' to 7' shark
AUSTRALIA	New South Wales	Flat Rock, Yamba	Jun	2015	unknown	M	unknown	Unprovoked	Limbs bitten	unknown
USA	South Carolina	Isle of Palms County Park, Isle of Palms, Charleston County	Jun	2015	18h05	M	12	Unprovoked	Lacerations	4' to 5' shark
USA	North Carolina	Rodanthe, Dare County	Jun	2015	16h00	M	18	Unprovoked	Minor injury	Bull shark
SOUTH AFRICA	Western Cape Province	Buffels Bay near Knysna	Jun	2015	14h40	M	19	Unprovoked	Lacerations	White shark
SOUTH AFRICA	Western Cape Province	Lookout Beach, Plettenberg Bay	Jun	2015	16h00	M	23	Unprovoked	Lacerations	White shark, 2m to 3 m
USA	South Carolina	South Beach, Hunting Island State Park, Beaufort County	May	2015	11h00	M	43	Unprovoked	Puncture wounds	4' shark
AUSTRALIA	Western Australia	Rottnest Island	May	2015	unknown	M	19	Provoked	Lacerations	Wobbegong shark
USA	North Carolina	Avon, Hatteras Island, Outer Banks, Dare County	May	2015	11h41	M	47	Unprovoked	Lacerations	unknown
USA	North Carolina	Surf City	May	2015	12h25	M	6	Unprovoked	Minor injury	Sandtiger shark
USA	South Carolina	St. Helena Island, Beaufort County	May	2015	unknown	M	9	Unprovoked	Minor injury	small shark
PUERTO RICO	unknown	Off Cabo Rojo	May	2015	Morning	M	36	Unprovoked	Minor injury	unknown
USA	Florida	Daytona Beach Shores	May	2015	13h00	M	10	Unprovoked	Minor injury	unknown
USA	North Carolina	Oak Island, Brunswick County	May	2015	17h51	M	16	Unprovoked	Severe	Bull shark
USA	North Carolina	Oak Island, Brunswick County	May	2015	16h12	F	12	Unprovoked	Minor injury	Bull shark
USA	California	Off San Diego	Apr	2015	unknown	F	unknown	Unprovoked	Lacerations	Mako shark
USA	North Carolina	Ocean Isle, Brunswick County	Apr	2015	12h45	F	13	Unprovoked	Lacerations	4' shark
USA	Florida	Lori Wilson Park, Cocoa Beach, Brevard  County	Apr	2015	10h50	M	11	Unprovoked	Lacerations	Bull shark, 5'
USA	Florida	Fort Lauderdale	Jun	2015	unknown	F	17	Unprovoked	Puncture wounds	small nurse shark
REUNION	Le Port	Folette	Apr	2015	15h00	M	47	Unprovoked	Limbs bitten	Bull shark, 2.5 m
USA	Florida	Cocoa Beach, Brevard  County	Apr	2015	15h00	F	14	Unprovoked	Limbs bitten	unknown
USA	Florida	New Smyrna Beach, Volusia County	Apr	2015	13h45	F	19	Unprovoked	Lacerations	unknown
FRENCH POLYNESIA	Rangiroa	Avatoru Pass	Apr	2015	08h00	M	19	Unprovoked	Lacerations	1m to 1.2 m shark
USA	Florida	Cocoa Beach, Brevard  County	Mar	2015	unknown	F	13	Unprovoked	Lacerations	unknown
USA	Florida	New Smyrna Beach, Volusia County	Mar	2015	10h30	M	18	Unprovoked	Puncture wounds	5' shark
USA	South Carolina	Sullivan's Island	Mar	2015	14h15	M	30	Unprovoked	Lacerations	6' shark
NEW CALEDONIA	unknown	Kouare 	Mar	2015	unknown	M	50	Unprovoked	Lethal	Bull shark, 3.5 m
USA	Florida	Cocoa Beach, Brevard  County	Mar	2015	15h00	M	unknown	Unprovoked	Lacerations	unknown
AUSTRALIA	New South Wales	Saltwater Beach	Mar	2015	15h00	M	unknown	Unprovoked	Minor injury	White shark
SOUTH AFRICA	Eastern Cape Province	Port St. John's	Mar	2015	13h00	M	29	Unprovoked	Minor injury	White shark, 3.5 m
USA	Hawaii	Kanahena Cove 	Feb	2015	09h00	F	65	Unprovoked	Lethal	unknown
USA	Florida	Resident's Beach, Marco Island	Feb	2015	16h30	M	63	Unprovoked	Lacerations	3- to 4-foot shark
AUSTRALIA	South Australia	Fishery Bay	Feb	2015	09h45	M	26	Unprovoked	Severe	White shark, 6 m
AUSTRALIA	New South Wales	Belongil Beach, Byron Bay	Feb	2015	11h00	M	71	Unprovoked	Minor injury	White shark, 3 m
USA	Florida	Florida Keys, Monroe County	Feb	2015	unknown	M	48	Unprovoked	Lacerations	Blue shark, 8 to 9 feet
AUSTRALIA	New South Wales	McKenzies Beach	Jan	2015	07h30	M	unknown	Unprovoked	Minor injury	unknown
REUNION	Saint-Gilles-les-Bains	Cap Homard	Jan	2015	09h00	M	13	Unprovoked	Lethal	Bull shark
USA	Florida	3 miles off Jupiter, Palm Beach County	Jan	2015	Afternoon	M	70	Unprovoked	Minor injury	Bull shark
SOUTH AFRICA	Eastern Cape Province	Yellow Sands Point	Jan	2015	unknown	M	36	Boat	Limbs bitten	White shark, 4 m
EGYPT	unknown	Marsa Alam	Jan	2015	unknown	M	52	Unprovoked	Lethal	Mako shark
