,Case Number,Year,Country,Activity,Sex,Age,Fatal (Y/N)
1470,2004.02.26,2004,NEW ZEALAND,Surfing,M,15.0,N
1471,2004.02.21,2004,AUSTRALIA,Swimming,M,,N
1472,2004.02.16,2004,AUSTRALIA,Free diving & spearfishing,M,31.0,N
1473,2004.02.14,2004,EGYPT,Snorkeling,M,,Y
1474,2004.02.11,2004,AUSTRALIA,Snorkeling,M,22.0,N
1475,2004.01.25,2004,AUSTRALIA,Scuba diving,M,46.0,N
1476,2004.01.23,2004,URUGUAY,Surfing,M,21.0,N
1477,2004.01.22,2004,NEW ZEALAND,Boogie boarding,M,,N
1478,2004.01.21.b,2004,VENEZUELA,Swimming,M,,N
1479,2004.01.21.a,2004,VENEZUELA,Spearfishing,M,40.0,N
1480,2004.01.15.R,2004,SOUTH AFRICA,Surf skiing,M,,N
1481,2004.01.12,2004,AUSTRALIA,Diving,M,,N
1482,2004.01.07,2004,SOUTH AFRICA,Surfing,M,22.0,N
1483,2004.01.03.b,2004,NEW ZEALAND,Kayaking (returning from spearfishing),M,,N
1484,2004.01.03.a,2004,EGYPT,Air disaster. Flash Airlines Boeing 737 crashed into the Red Sea,,,Y
1485,2004.00.00,2004,AUSTRALIA,Surfing,M,,N
1486,2003.12.31,2003,SOUTH AFRICA,,,,N
1487,2003.12.26,2003,USA,Swimming,M,28.0,N
1488,2003.12.13.b,2003,USA,Swimming,M,13.0,N
1489,2003.12.13.a,2003,NEW ZEALAND,Swimming / shipwreck,M,45.0,Y
1490,2003.12.08,2003,AUSTRALIA,Surfing amid a shoal of sharks,M,36.0,N
1491,2003.11.30.b,2003,AUSTRALIA,Swimming,M,,N
1492,2003.11.30.a,2003,AUSTRALIA,Swimming,M,,N
1493,2003.11.27,2003,SOUTH AFRICA,Spearfishing,M,21.0,Y
1494,2003.11.22,2003,USA,Surfing,F,35.0,N
1495,2003.11.12.b,2003,INDIA,Swimming or surfing,M,35.0,N
1496,2003.11.12.a,2003,USA,Surfing,M,24.0,N
1497,2003.11.06.b,2003,EGYPT,Snorkeling,M,,N
1498,2003.11.06.a,2003,SOUTH AFRICA,Surf skiing,,,N
1499,2003.11.01,2003,AUSTRALIA,Standing,M,,N
1500,2003.11.00,2003,PANAMA,Spearfishing,M,,N
1501,2003.10.31.c,2003,USA,Surfing,M,18.0,N
1502,2003.10.31.b,2003,AUSTRALIA,Surfing,M,22.0,N
1503,2003.10.31.a,2003,USA,Surfing,F,13.0,N
1504,2003.10.27,2003,USA,Surfing,M,46.0,N
1505,2003.10.24,2003,USA,Snorkeling,M,56.0,N
1506,2003.10.14,2003,USA,Surfing,M,19.0,N
1507,2003.10.06,2003,USA,Swimming to shore from boat or kayak,M,,Y
1508,2003.10.05.e,2003,USA,Surfing,F,,N
1509,2003.10.05.d,2003,USA,Surfing,M,18.0,N
1510,2003.10.05.c,2003,USA,Surfing,M,30.0,N
1511,2003.10.05.b,2003,USA,Sitting on surfboard,M,50.0,N
1512,2003.10.05.a,2003,USA,Wading near a fishing net,F,41.0,N
1513,2003.09.29,2003,FIJI,Wading to shore from his boat,M,40.0,Y
1514,2003.09.28,2003,USA,Surfing,M,16.0,N
1515,2003.09.21,2003,USA,Surfing,M,21.0,N
1516,2003.09.19,2003,USA,Surfing,M,19.0,N
1517,2003.09.17,2003,USA,Surfing,M,17.0,N
1518,2003.09.14.c,2003,USA,Surfing,M,30.0,N
1519,2003.09.14.b,2003,SOUTH AFRICA,Fishing ,,,N
1520,2003.09.14.a,2003,USA,Swimming,F,,N
1521,2003.09.13.b,2003,USA,Body boarding,M,18.0,N
1522,2003.09.13.a,2003,USA,"Standing, stepped on shark",M,15.0,N
1523,2003.09.12,2003,SOUTH AFRICA,Body boarding,M,19.0,Y
1524,2003.09.00,2003,USA,Wade-fishing,M,,N
1525,2003.08.29,2003,USA,Fishing,M,,N
1526,2003.08.19,2003,USA,"Swimming, wearing black wetsuit & swim fins",F,50.0,Y
1527,2003.08.12,2003,USA,Swimming,M,31.0,N
1528,2003.08.08,2003,SOUTH AFRICA,Sitting on surfboard,M,16.0,N
1529,2003.07.26.R,2003,AUSTRALIA,Surf skiing,M,37.0,N
1530,2003.07.20,2003,USA,Surfing,M,18.0,N
1531,2003.07.15,2003,USA,Wading,F,15.0,N
1532,2003.07.09,2003,BAHAMAS,Spearfishing,M,58.0,N
1533,2003.07.05.b,2003,USA,"Walking, carrying surfboard & stepped on shark",M,10.0,N
1534,2003.07.05.a,2003,USA,Surfing,M,21.0,N
1535,2003.07.04,2003,BAHAMAS,Spearfishing,M,39.0,N
1536,2003.07.00.c,2003,USA,Spearfishing,M,,N
1537,2003.07.00.b,2003,FRENCH POLYNESIA,Spearfishing,M,,N
1538,2003.07.00.a,2003,NEW ZEALAND,Snorkeling,M,,N
1539,2003.06.30,2003,USA,Surfing,M,17.0,N
1540,2003.06.26,2003,USA,Surfing,M,15.0,N
1541,2003.06.24.c,2003,BRAZIL,,M,,Y
1542,2003.06.24.b,2003,USA,Standing,F,12.0,N
1543,2003.06.24.a,2003,USA,Swimming with pod of dolphins,M,60.0,N
1544,2003.06.22,2003,USA,Swimming,M,51.0,N
1545,2003.06.19,2003,USA,Surfing ,M,33.0,N
1546,2003.06.08,2003,USA,Surfing,,15.0,N
1547,2003.06.00,2003,USA,Swimming,F,22.0,N
1548,2003.05.25,2003,USA,Surfing,M,18.0,N
1549,2003.05.14,2003,USA,Wading,M,22.0,N
1550,2003.05.10,2003,USA,Swimming,M,20.0,N
1551,2003.05.07,2003,USA,Surfing,M,34.0,N
1552,2003.05.03,2003,USA,Walking,F,9.0,N
1553,2003.05.00,2003,PHILIPPINES,,,,N
1554,2003.04.26,2003,BRAZIL,Killing  sharks,M,,N
1555,2003.04.25,2003,BRAZIL,Swimming ,M,16.0,N
1556,2003.04.23.b,2003,BRAZIL,Surfing,M,17.0,N
1557,2003.04.23.a,2003,BRAZIL,Swimming,M,7.0,N
1558,2003.04.21.b,2003,USA,Surfing,M,36.0,N
1559,2003.04.21.a,2003,USA,Surfing,M,17.0,N
1560,2003.04.20.c,2003,USA,Surfing,M,30.0,N
1561,2003.04.20.b,2003,USA,Surfing,M,23.0,N
1562,2003.04.20.a,2003,USA,Surfing,M,18.0,N
1563,2003.04.19,2003,USA,Jumping,M,11.0,N
1564,2003.04.18,2003,USA,Surfing,M,12.0,N
1565,2003.04.15,2003,USA,Swimming (using a float),M,20.0,N
1566,2003.04.11,2003,VENEZUELA,Surfing,M,28.0,N
1567,2003.04.09,2003,USA,Surfing,M,,N
1568,2003.04.04,2003,USA,Surfing,M,50.0,N
1569,2003.03.10,2003,USA,Petting captive sharks,F,,N
1570,2003.02.27,2003,NEW ZEALAND,Scuba diving,M,44.0,N
1571,2003.02.15.b,2003,AUSTRALIA,Wading,M,37.0,N
1572,2003.02.15.a,2003,USA,Swimming,M,54.0,N
1573,2003.02.11,2003,AUSTRALIA,Swimming,M,24.0,N
1574,2003.02.08,2003,AUSTRALIA,Swimming,M,84.0,Y
1575,2003.01.17,2003,SOUTH AFRICA,Unknown,M,14.0,Y
1576,2003.01.03,2003,COSTA RICA,Surfing,M,,N
1577,2003.01.02,2003,AUSTRALIA,Surfing,F,,N
1578,2002.12.29,2002,AUSTRALIA,Snorkeling,F,18.0,N
1579,2002.12.24,2002,SOUTH AFRICA,Snorkeling,M,25.0,N
1580,2002.12.21,2002,AUSTRALIA,Scuba diving,M,26.0,N
1581,2002.12.20,2002,AUSTRALIA,Swimming,M,11.0,N
1582,2002.12.16,2002,AUSTRALIA,Swimming,M,23.0,Y
1583,2002.12.01,2002,BRAZIL,Surfing,M,19.0,Y
1584,2002.11.28.b,2002,MICRONESIA,Scuba diving,M,,N
1585,2002.11.28.a,2002,USA,Body boarding,M,48.0,N
1586,2002.11.17,2002,USA,Swimming,F,34.0,N
1587,2002.11.14,2002,TURKS & CAICOS,Snorkeling,F,41.0,N
1588,2002.11.11,2002,USA,Surfing,M,21.0,N
1589,2002.11.02,2002,USA,Boogie boarding,M,16.0,N
1590,2002.11.00.a,2002,FRENCH POLYNESIA,"Fishing, standing in 2' of water",M,52.0,N
1591,2002.10.30,2002,USA,Swimming,F,60.0,N
1592,2002.10.14,2002,BRAZIL,Swimming,M,36.0,Y
1593,2002.10.11,2002,USA,Surfing,M,21.0,N
1594,2002.10.05.b,2002,USA,Surfing,M,14.0,N
1595,2002.10.05.a,2002,USA,Surfing,M,35.0,N
1596,2002.10.03,2002,USA,Surfing,M,18.0,N
1597,2002.09.30,2002,USA,Surfing,M,47.0,N
1598,2002.09.29,2002,USA,Surfing,M,32.0,N
1599,2002.09.27.c,2002,USA,Fishing from Surfboard,M,55.0,N
1600,2002.09.27.b,2002,USA,Fishing,M,,N
1601,2002.09.27.a,2002,TONGA,Swimming,M,,N
1602,2002.09.21.b,2002,USA,Boogie boarding or Surfing,M,24.0,N
1603,2002.09.21.a,2002,USA,Surfing,M,35.0,N
1604,2002.09.16.b,2002,BRAZIL,Swimming,M,19.0,N
1605,2002.09.16.a,2002,USA,Body boarding,,,N
1606,2002.09.13,2002,SOUTH AFRICA,Surf skiing,M,47.0,N
1607,2002.09.09,2002,USA,Boogie boarding,M,20.0,N
1608,2002.09.05,2002,USA,"Wading, when he stepped on the shark",M,36.0,N
1609,2002.08.28,2002,USA,Surfing,M,16.0,N
1610,2002.08.17,2002,USA,Swimming,F,29.0,N
1611,2002.08.14,2002,USA,Surfing,M,27.0,N
1612,2002.08.11,2002,USA,Surfing,M,15.0,N
1613,2002.08.07,2002,USA,Standing,M,15.0,N
1614,2002.08.06.R,2002,UNITED KINGDOM,Diving,M,30.0,N
1615,2002.08.05,2002,USA,Standing,M,14.0,N
1616,2002.07.26,2002,USA,Surfing,M,13.0,N
1617,2002.07.20,2002,USA,Swimming,F,15.0,N
1618,2002.07.10,2002,USA,Surfing,M,19.0,N
1619,2002.07.09.b,2002,USA,Shark Fishing,M,41.0,Y
1620,2002.07.09.a,2002,BRAZIL,Surfing,M,22.0,N
1621,2002.07.04,2002,USA,Standing,F,9.0,N
1622,2002.06.20.b,2002,AUSTRALIA,Surfing,M,30.0,N
1623,2002.06.20.a,2002,USA,Swimming,F,11.0,N
1624,2002.06.16,2002,INDONESIA,,,,Y
1625,2002.06.13.R2,2002,PAPUA NEW GUINEA,,,,N
1626,2002.06.13.R1,2002,PAPUA NEW GUINEA,Attempting to retreive a dinghy,,,Y
1627,2002.06.11.b,2002,USA,Sitting on surfboard,,,N
1628,2002.06.11.a,2002,USA,Surfing,M,28.0,N
1629,2002.06.09.b,2002,USA,Surfing,M,50.0,N
1630,2002.06.09.a,2002,USA,Swimming,M,10.0,N
1631,2002.06.03,2002,SOUTH AFRICA,Snorkeling (filming the sardine run),M,50.0,N
1632,2002.05.31.b,2002,USA,Surfing,M,24.0,N
1633,2002.05.31.a,2002,USA,Floating on a raft,M,16.0,N
1634,2002.05.22.b,2002,USA,"Fishing, removing the shark from his line",M,55.0,N
1635,2002.05.22.a,2002,USA,Playing in the surf with his 2 dogs,M,35.0,N
1636,2002.05.21.R,2002,COSTA RICA,Surfing,M,,N
1637,2002.05.21,2002,PAPUA NEW GUINEA,Collecting beche-de-mer,M,14.0,N
1638,2002.05.13,2002,USA,Fishing,M,31.0,N
1639,2002.05.10,2002,BRAZIL,Surfing,M,40.0,N
1640,2002.05.07,2002,AUSTRALIA,Fishing from prawn trawler,M,20.0,N
1641,2002.04.30,2002,AUSTRALIA,Scallop diving (using surface-supplied air & a POD) ,M,23.0,Y
1642,2002.04.21,2002,AUSTRALIA,Fishing (Drowned 2-Apr-2002),M,52.0,Y
1643,2002.04.20,2002,USA,"Surfing, but standing in water alongside board",M,34.0,N
1644,2002.04.18,2002,USA,Surfing,M,28.0,N
1645,2002.04.12,2002,AUSTRALIA,Swimming,M,45.0,N
1646,2002.04.09,2002,BAHAMAS,Standing,M,43.0,N
1647,2002.04.02,2002,USA,Wading,M,41.0,N
1648,2002.04.01,2002,USA,Swimming / Wading,M,29.0,N
1649,2002.03.25.b,2002,USA,Body-boarding,M,17.0,N
1650,2002.03.25.a,2002,USA,Wading,F,11.0,N
1651,2002.03.24,2002,BRAZIL,Swimming,M,16.0,Y
1652,2002.03.19,2002,USA,Swimming /  boogie boarding,M,20.0,N
1653,2002.03.15.b,2002,USA,Snorkeling,M,39.0,N
1654,2002.03.15.a,2002,USA,Surfing,M,31.0,N
1655,2002.03.03,2002,NEW CALEDONIA,Spearfishing,M,44.0,Y
1656,2002.02.23,2002,TURKS & CAICOS,Capsized fishing boat,M,,Y
1657,2002.02.16,2002,AUSTRALIA,Surfing,M,,N
1658,2002.02.11,2002,FIJI,,M,15.0,Y
1659,2002.02.07,2002,AUSTRALIA,Kayaking,M,35.0,N
1660,2002.01.30.b,2002,AUSTRALIA,Surfing,M,20.0,N
1661,2002.01.30.a,2002,AUSTRALIA,Swimming,M,32.0,N
1662,2002.01.04,2002,SOUTH AFRICA,Fishing,M,16.0,N
1663,2002.01.03,2002,BRAZIL,Swimming,,,Y
1664,2002.01.01.b,2002,SOUTH AFRICA,Surf skiing,M,26.0,N
1665,2002.01.01.a,2002,USA,Snorkeling,M,35.0,N
1666,2001.12.21,2001,AUSTRALIA,Surfing,M,36.0,N
1667,2001.11.23,2001,AUSTRALIA,Surfing,M,49.0,N
1668,2001.11.14,2001,USA,Surfing,,,N
1669,2001.11.07,2001,AUSTRALIA,Surf-skiing,M,,N
1670,2001.10.07,2001,SOUTH AFRICA,Kite-Boarding,M,,N
1671,2001.10.02,2001,AUSTRALIA,Snorkeling,F,20.0,N
1672,2001.09.30.b,2001,MEXICO,Body surfing,M,26.0,N
1673,2001.09.30.a,2001,AUSTRALIA,,M,31.0,N
1674,2001.09.24,2001,USA,"Surfing, fell off surfboard & stepped on the shark.",M,21.0,N
1675,2001.09.18,2001,USA,Surfing,M,14.0,N
1676,2001.09.16,2001,USA,Wreck / Technical diving,M,42.0,Y
1677,2001.09.15.b,2001,USA,Boogie boarding,M,,N
1678,2001.09.15.a,2001,USA,Surfing,M,16.0,N
1679,2001.09.13,2001,UNITED KINGDOM,Diving,M,,N
1680,2001.09.08,2001,USA,Fishing,M,44.0,N
1681,2001.09.07.b,2001,USA,Walking in shallows,M,13.0,N
1682,2001.09.07.a,2001,USA,Swimming,F,,N
1683,2001.09.03.b,2001,USA,Swimming ,M,28.0,Y
1684,2001.09.03.a,2001,USA,Swimming,F,23.0,N
1685,2001.09.02,2001,USA,Wading,M,20.0,N
1686,2001.09.01,2001,USA,Swimming ,M,10.0,Y
1687,2001.08.31,2001,BAHAMAS,Spearfishing,M,44.0,N
1688,2001.08.29,2001,USA,Standing,F,29.0,N
1689,2001.08.27,2001,USA,Wading,M,69.0,N
1690,2001.08.26,2001,USA,Boogie Boarding,M,18.0,N
1691,2001.08.25,2001,USA,Boogie Boarding,M,18.0,N
1692,2001.08.22,2001,USA,Surfing,M,17.0,N
1693,2001.08.21,2001,USA,Surfing,M,27.0,N
1694,2001.08.19.c,2001,USA,Surfing,M,32.0,N
1695,2001.08.19.b,2001,USA,Surfing,F,17.0,N
1696,2001.08.19.a,2001,USA,Surfing,F,17.0,N
1697,2001.08.18.c,2001,USA,Surfing,M,20.0,N
1698,2001.08.18.b,2001,USA,Surfing,M,19.0,N
1699,2001.08.18.a,2001,USA,Surfing,M,19.0,N
1700,2001.08.16,2001,BAHAMAS,Spearfishing,M,43.0,N
1701,2001.08.12,2001,THAILAND,Fell off banana boat,M,,N
1702,2001.08.05,2001,USA,,F,,N
1703,2001.08.04,2001,BAHAMAS,Swimming,M,36.0,N
1704,2001.08.03,2001,ITALY,Fishing,,,N
1705,2001.07.26,2001,USA,,F,,N
1706,2001.07.25,2001,USA,,M,,N
1707,2001.07.24,2001,USA,,F,,N
1708,2001.07.21,2001,USA,Fishing,,,N
1709,2001.07.15.b,2001,USA,Surfing,M,48.0,N
1710,2001.07.15.a,2001,USA,Boogie boarding,M,18.0,N
1711,2001.07.06.b,2001,MEXICO,Surfing,M,42.0,N
1712,2001.07.06.a,2001,USA,Swimming,M,8.0,N
1713,2001.07.03,2001,USA,,,,N
1714,2001.07.00,2001,USA,Floating face-down in knee-deep water,M,35.0,N
1715,2001.06.12,2001,USA,Swimming,M,14.0,N
1716,2001.06.10,2001,USA,Spearfishing,M,52.0,N
1717,2001.06.09,2001,AUSTRALIA,Hiking on the beach,M,75.0,Y
1718,2001.06.03,2001,USA,Wading,F,29.0,N
1719,2001.05.29,2001,USA,,M,16.0,N
1720,2001.05.23 ,2001,USA,Swimming,M,11.0,N
1721,2001.05.20,2001,USA,Swimming,M,,N
1722,2001.05.18,2001,PHILIPPINES,Shark fishing,M,24.0,N
1723,2001.05.11,2001,MADAGASCAR,,M,,Y
1724,2001.05.08,2001,SOUTH AFRICA,Surfing,M,26.0,N
1725,2001.05.04,2001,AUSTRALIA,Surfing,M,,N
1726,2001.05.03,2001,USA,Surfing,M,45.0,N
1727,2001.05.00,2001,FIJI,"Spearfishing, carrying his catch",M,,Y
1728,2001.04.28,2001,USA,Boogie boarding,M,14.0,N
1729,2001.04.13.b,2001,USA,Surfing,M,16.0,N
1730,2001.04.13.a,2001,USA,Surfing,M,12.0,N
1731,2001.04.12.e,2001,USA,,M,,N
1732,2001.04.12.d,2001,USA,Surfing,M,38.0,N
1733,2001.04.12.c,2001,USA,Surfing,M,21.0,N
1734,2001.04.12.b,2001,USA,Body boarding,M,12.0,N
1735,2001.04.12.a,2001,USA,Surfing,M,22.0,N
1736,2001.04.11.d,2001,USA,Surfing,M,19.0,N
1737,2001.04.11.c,2001,USA,Surfing,M,22.0,N
1738,2001.04.11.a,2001,USA,Surfing,M,,N
1739,2001.04.10,2001,USA,Surfing,,16.0,N
1740,2001.04.08.b,2001,SOUTH AFRICA,Surfing,M,46.0,N
1741,2001.04.08.a,2001,AUSTRALIA,Snorkeling,M,,N
1742,2001.04.05,2001,USA,Standing alongside surfboard,M,26.0,N
1743,2001.04.02.b,2001,BRAZIL,Batin,F,12.0,N
1744,2001.04.02.a,2001,AUSTRALIA,Surfing,M,40.0,N
1745,2001.03.23,2001,USA,Body-boarding,M,,N
1746,2001.03.09,2001,USA,Surfing,M,,N
1747,2001.03.08,2001,BRAZIL,Attempting to catch a crocodile,M,12.0,N
1748,2001.03.03,2001,BRAZIL,Swimming,M,20.0,Y
1749,2001.03.00,2001,CARIBBEAN SEA,Sinking of the 40' Esperanza off St. Maartin with 36 refugees on board,,,Y
1750,2001.02.26,2001,AUSTRALIA,Fishing for whiting,,,N
1751,2001.02.11,2001,MALAYSIA,Unknown,F,,Y
1752,2001.02.04,2001,AUSTRALIA,Surfing,M,40.0,N
1753,2001.01.24.R,2001,AUSTRALIA,Kayaking,M,35.0,N
1754,2001.01.24,2001,CUBA,Swimming,F,55.0,N
1755,2001.01.21 ,2001,AUSTRALIA,Fishing,,,N
1756,2001.01.09,2001,USA,Surfing,M,,N
1757,2001.01.06,2001,NEW ZEALAND,Kayaking,M,,N
1758,2000.12.24,2000,AUSTRALIA,Scuba diving,M,23.0,N
1759,2000.12.12,2000,FIJI,Swimming back from anchored sailboat,M,47.0,Y
1760,2000.12.11,2000,AUSTRALIA,Fishing for whiting,,,N
1761,2000.12.05,2000,CANADA,Diving for sea urchins,M,30.0,N
1762,2000.12.03,2000,AUSTRALIA,Spearfishing,M,38.0,N
1763,2000.12.00,2000,NEW ZEALAND,Surfing,F,,Y
1764,2000.11.21,2000,AUSTRALIA,Diving (shell maintenance),M,28.0,N
1765,2000.11.20,2000,AUSTRALIA,Shipwrecked,M,47.0,Y
1766,2000.11.18,2000,USA,Swimming,M,73.0,N
1767,2000.11.10,2000,USA,Walking,F,27.0,N
1768,2000.11.06.b,2000,AUSTRALIA,Swimming,M,52.0,N
1769,2000.11.06.a,2000,AUSTRALIA,Swimming,M,49.0,Y
1770,2000.11.04,2000,USA,Surfing,M,27.0,N
1771,2000.10.29,2000,AUSTRALIA,Fishing ,,31.0,N
1772,2000.10.20,2000,USA,Surfing,M,23.0,N
1773,2000.10.18,2000,USA,Swimming / snorkeling,F,56.0,N
1774,2000.10.14,2000,USA,Swimming,M,69.0,N
1775,2000.10.09,2000,USA,Surfing,M,17.0,N
1776,2000.10.06.b,2000,USA,Surfing,M,23.0,N
1777,2000.10.06.a,2000,USA,Body surfing,M,11.0,N
1778,2000.10.02,2000,USA,Surfing,M,24.0,N
1779,2000.09.29,2000,USA,Sitting on surfboard,M,,N
1780,2000.09.25,2000,AUSTRALIA,Surfing,M,17.0,Y
1781,2000.09.24,2000,AUSTRALIA,Surfing,M,25.0,Y
1782,2000.09.18,2000,AUSTRALIA,Fell onto dead shark,M,12.0,N
1783,2000.09.16.b,2000,OKINAWA,Surfing,M,31.0,Y
1784,2000.09.16.a,2000,USA,,,,N
1785,2000.09.15,2000,USA,Standing / surfing,M,49.0,N
1786,2000.09.12,2000,USA,Surfing,F,26.0,N
1787,2000.09.11,2000,USA,Swimming / Body surfing,M,25.0,N
1788,2000.09.10.b,2000,USA,Swimming,M,8.0,N
1789,2000.09.10.a,2000,SOUTH AFRICA,Free diving,M,48.0,N
1790,2000.09.08.c,2000,TANZANIA,Swimming,M,28.0,Y
1791,2000.09.08.b,2000,USA,Wading,M,40.0,N
1792,2000.09.08.a,2000,REUNION,Surfing,M,27.0,N
1793,2000.09.00.b,2000,TANZANIA,Swimming,,,Y
1794,2000.08.31,2000,USA,Swimming,M,47.0,N
1795,2000.08.30,2000,USA,Jumped into the water,M,69.0,Y
1796,2000.08.27.R,2000,USA,Conducting research,M,,N
1797,2000.08.21,2000,USA,Swimming out to porpoises ,M,,N
1798,2000.08.15,2000,USA,"Windsurfing, but sitting on his board",M,53.0,N
1799,2000.08.13,2000,USA,Surfing / Wading,M,27.0,N
1800,2000.08.12,2000,USA,Standing,F,44.0,N
1801,2000.08.11,2000,USA,Swimming ,M,,N
1802,2000.08.10,2000,USA,Attempting to illegally enter the USA,M,,Y
1803,2000.08.00,2000,TANZANIA,Swimming,,,Y
1804,2000.07.25,2000,USA,,M,5.0,N
1805,2000.07.22,2000,USA,Snorkeling,F,45.0,N
1806,2000.07.17,2000,USA,Surfing,M,16.0,N
1807,2000.07.16.b,2000,USA,Surfing,M,14.0,N
1808,2000.07.16.a,2000,SOUTH AFRICA,Surfing,M,15.0,N
1809,2000.07.15.b,2000,SOUTH AFRICA,Surfing,M,18.0,N
1810,2000.07.15.a,2000,SOUTH AFRICA,Surfing,M,,N
1811,2000.07.12,2000, TONGA,Scuba diving,M,69.0,N
1812,2000.07.10,2000,USA,Wading,M,13.0,N
1813,2000.07.09,2000,USA,Swimming ,M,41.0,N
1814,2000.07.07,2000,USA,Jumping,M,5.0,N
1815,2000.07.06,2000,USA,Playing,F,12.0,N
1816,2000.07.04.b,2000,USA,Wading,F,20.0,N
1817,2000.07.04.a,2000,USA,"Spearfishing, holding mesh bag with speared fish",F,55.0,N
1818,2000.07.02.b,2000,USA,Wading,F,13.0,N
1819,2000.07.02.a,2000,USA,Standing,F,19.0,N
1820,2000.07.00,2000,TANZANIA,Swimming,,,Y
1821,2000.06.30,2000,PAPUA NEW GUINEA,,M,,Y
1822,2000.06.29,2000,NEW ZEALAND,Fishing,M,,N
1823,2000.06.19,2000,USA,Standing,M,52.0,N
1824,2000.06.13,2000,USA,Sailing,,,N
1825,2000.06.10,2000,USA,Surfing,M,17.0,N
1826,2000.06.09.b,2000,USA,Swimming,M,55.0,N
1827,2000.06.09.a,2000,USA,Swimming ,M,44.0,N
1828,2000.06.02,2000,USA,Snorkeling,M,13.0,N
1829,2000.06.00,2000,TANZANIA,Swimming,M,,Y
1830,2000.05.13,2000,NEW CALEDONIA,"Air Disaster - Piper aircraft crashed into the sea, killing all on board",,,Y
1831,2000.05.09,2000,AUSTRALIA,,,,Y
1832,2000.05.07.b,2000,PAPUA NEW GUINEA,Standing,M,9.0,N
1833,2000.05.07.a,2000,PAPUA NEW GUINEA,Diving,M,,Y
1834,2000.04.14,2000,USA,Walking,M,34.0,N
1835,2000.04.09,2000,USA,Boogie boarding / wading,M,,N
1836,2000.03.31,2000,USA,Fishing,M,,N
1837,2000.03.30,2000,AUSTRALIA,Swimming,M,26.0,N
1838,2000.03.26,2000,USA,Boogie boarding,F,14.0,N
1839,2000.03.24,2000,USA,Surfing,M,37.0,N
1840,2000.03.15,2000,NEW CALEDONIA,Spearfishing,M,35.0,Y
1841,2000.03.14,2000,AUSTRALIA,Surfing,M,,N
1842,2000.03.10,2000,AUSTRALIA,Rowing,,,N
1843,2000.03.09,2000,AUSTRALIA,Rowing,,,N
1844,2000.03.03.R,2000,NEW ZEALAND,Kayaking,M,27.0,
1845,2000.03.02,2000,AUSTRALIA,Swimming,M,,N
1846,2000.03.00,2000,USA,Spearfishing,M,39.0,N
1847,2000.02.21,2000,USA,,M,27.0,N
1848,2000.02.19,2000,SOUTH AFRICA,Body surfing,M,,N
1849,2000.02.14,2000,ENGLAND,Feeding prawns to captive sharks,M,,N
1850,2000.02.03,2000,NEW ZEALAND,Surfing,M,12.0,N
1851,2000.02.01,2000,AUSTRALIA,Surfing,M,26.0,N
1852,2000.01.28.R,2000,REUNION,Canoe with 3 men onboard sank,M,,Y
1853,2000.01.05,2000,THAILAND,Diving,M,35.0,Y
1854,2000.00.00,2000,USA,Fishing for tarpon,M,,N
1855,1999.12.31.c,1999,NEW ZEALAND,Surfing,M,15.0,N
1856,1999.12.31.b,1999,NEW ZEALAND,Swimming,F,13.0,N
1857,1999.12.31.a,1999,NEW ZEALAND,Bathing,F,12.0,N
1858,1999.12.26,1999,BRAZIL,Surfing,M,18.0,N
1859,1999.12.14,1999,USA,Scuba diving,M,,Y
1860,1999.12.06,1999,BRAZIL,Spearfishing,M,39.0,N
1861,1999.12.02,1999,USA,Surfing,M,35.0,N
1862,1999.11.30,1999,USA,Surfing,M,19.0,N
1863,1999.11.23,1999,USA,Swimming,F,51.0,N
1864,1999.11.15,1999,USA,Surfing (sitting on his board),M,,N
1865,1999.11.13,1999,SOUTH AFRICA,Surfing,M,35.0,N
1866,1999.11.06,1999,BRAZIL,"Spearfishing, but swimming at surface",M,39.0,N
1867,1999.11.00.b,1999,MARSHALL ISLANDS,Swimming,M,12.0,N
1868,1999.11.00.a,1999,MARSHALL ISLANDS,Swimming,M,12.0,N
1869,1999.10.30.b,1999,USA,Body boarding,M,45.0,N
1870,1999.10.30.a,1999,USA,Body surfing,M,13.0,N
1871,1999.10.20,1999,USA,Surfing,M,,N
1872,1999.10.01,1999,USA,"Surfing, lying on surfboard",M,16.0,N
1873,1999.09.29,1999,USA,Wading to shore after surfing,M,22.0,N
1874,1999.09.24,1999,ITALY,Fishing,,,N
1875,1999.09.16,1999,USA,Wading,F,61.0,N
1876,1999.09.10,1999,USA,Wading,F,10.0,N
1877,1999.09.05,1999,USA,Surfing,M,13.0,N
1878,1999.09.04.b,1999,USA,Wading,M,7.0,N
1879,1999.09.04.a,1999,USA,Wading with surfboard,M,39.0,N
1880,1999.08.26,1999,USA,Surfing,M,28.0,N
1881,1999.08.24,1999,USA,Surfing,M,,N
1882,1999.08.23,1999,MARSHALL ISLANDS,Fishing,M,23.0,N
1883,1999.08.21,1999,USA,Surfing,M,17.0,N
1884,1999.08.16,1999,USA,Lying prone in 2' of water,M,10.0,N
1885,1999.08.05.a,1999,USA,Body surfing,M,62.0,N
1886,1999.08.05,1999,BAHAMAS,Spearfishing & holding catch,M,35.0,N
1887,1999.07.29,1999,SOUTH AFRICA,Surfing,M,42.0,N
1888,1999.07.26,1999,USA,Swimming with dolphins,M,43.0,N
1889,1999.07.21,1999,USA,Surfing,M,43.0,N
1890,1999.07.15,1999,SOUTH AFRICA,Boogie boarding,M,14.0,Y
