,Case Number,Year,Country,Activity,Sex,Age,Fatal (Y/N)
44,2016.06.21.b,2016,USA,Floating,M,42.0,N
45,2016.06.21.a,2016,USA,Wading,M,,N
46,2016.06.15.b,2016,USA,Surfing,M,,N
47,2016.06.15.a,2016,AUSTRALIA,Spearfishing,M,19.0,N
48,2016.06.14,2016,USA,Floating in tube,F,6.0,N
49,2016.06.11,2016,USA,Standing,M,19.0,N
50,2016.06.07,2016,USA,Surfing,M,27.0,N
51,2016.06.05.b,2016,USA,Swimming,M,64.0,N
52,2016.06.05.a,2016,AUSTRALIA,Diving,F,60.0,Y
53,2016.06.04,2016,EGYPT,Swimming,M,23.0,N
54,2016.06.02.b,2016,AUSTRALIA,Spearfishing,M,,
55,2016.06.02.a,2016,NEW CALEDONIA,Kite surfing,M,,N
56,2016.05.31,2016,AUSTRALIA,Surfing,M,29.0,Y
57,2016.05.29.b,2016,USA,Swimming,F,52.0,N
58,2016.05.29.a,2016,USA,Swimming,M,13.0,N
59,2016.05.22,2016,USA,Swimming,F,57.0,N
60,2016.05.21.b,2016,USA,Swimming,F,22.0,N
61,2016.05.21.a,2016,USA,Swimming,F,11.0,N
62,2016.05.18,2016,USA,Swimming,M,48.0,N
63,2016.05.15,2016,USA,Teasing a shark,F,23.0,N
64,2016.05.03,2016,USA,Floating,M,59.0,N
65,2016.05.02,2016,NEW ZEALAND,Fishing,M,39.0,N
66,2016.04.25,2016,INDONESIA,Surfing,M,24.0,N
67,2016.04.23,2016,USA,Surfing,M,15.0,N
68,2016.04.22,2016,SOUTH AFRICA,Surf-skiing,M,,N
69,2016.04.19,2016,AUSTRALIA,Swimming,M,12.0,N
70,2016.04.18,2016,FRENCH POLYNESIA,Spearfishing,M,26.0,N
71,2016.04.13,2016,USA,Spearfishing,M,26.0,N
72,2016.04.09,2016,NEW CALEDONIA,Walking,F,69.0,Y
73,2016.04.08,2016,CAPE VERDE,,M,60.0,N
74,2016.04.07.b,2016,USA,Fishing,M,34.0,N
75,2016.04.07.a,2016,USA,SUP,M,,N
76,2016.03.31,2016,USA,Snorkeling,F,46.0,N
77,2016.03.30,2016,AUSTRALIA,Surfing,M,22.0,N
78,2016.03.28.b,2016,USA,,M,,N
79,2016.03.28.a,2016,AUSTRALIA,Surfing,M,41.0,N
80,2016.03.26,2016,BAHAMAS,,M,9.0,N
81,2016.03.13,2016,USA,Surfing,,,N
82,2016.03.11,2016,USA,Body surfing,M,19.0,N
83,2016.03.10,2016,FIJI,Diving for beche-de-mer,M,45.0,Y
84,2016.03.04,2016,USA,,M,12.0,N
85,2016.03.03.R,2016,AUSTRALIA,Fishing,M,,N
86,2016.03.02,2016,BRAZIL,Swimming,M,41.0,N
87,2016.02.22,2016,NEW CALEDONIA,Kite surfing,M,21.0,N
88,2016.02.19,2016,NEW CALEDONIA,Spearfishing,M,31.0,N
89,2016.02.12,2016,DOMINICAN REPUBLIC,Wading,F,,N
90,2016.02.10.R,2016,CAYMAN ISLANDS,Feeding stingrays?,M,65.0,N
91,2016.02.10,2016,AUSTRALIA,Surfing,M,,N
92,2016.02.05,2016,AUSTRALIA,Walking,F,45.0,N
93,2016.02.04,2016,AUSTRALIA,Windsurfing,M,40.0,N
94,2016.01.29,2016,SOUTH AFRICA,Kayak fishing,M,,N
95,2016.01.28,2016,USA,Surfing,M,,N
96,2016.01.25,2016,USA,Surfing,F,15.0,N
97,2016.01.24.b,2016,USA,Spearfishing,M,,N
98,2016.01.24.a,2016,UNITED ARAB EMIRATES,Fishing,M,,N
99,2016.01.23,2016,USA,Paddle boarding,M,48.0,N
100,2016.01.11.R,2016,AUSTRALIA,Surfing,M,,N
101,2016.01.05,2016,AUSTRALIA,Wading,M,11.0,N
102,2016.01.02,2016,AUSTRALIA,Spearfishing,M,31.0,N
103,2015.12.26,2015,SOUTH AFRICA,Kayak Fishing,M,,N
104,2015.12.25,2015,SPAIN,Swimming,F,38.0,N
105,2015.12.22,2015,USA,Paddle boarding,M,71.0,N
106,2015.12.21.b,2015,AUSTRALIA,Surfing,M,43.0,N
107,2015.12.21.a,2015,BRAZIL,Scuba diving,M,32.0,N
108,2015.12.19,2015,ARUBA,Sea disaster,M,58.0,Y
109,2015.12.13,2015,AUSTRALIA,Fishing,,,N
110,2015.12.11,2015,BAHAMAS,Lobster fishing,M,26.0,N
111,2015.12.08,2015,SOUTH AFRICA,Swimming / Wading,F,22.0,N
112,2015.11.16,2015,USA,Surfing,M,,N
113,2015.11.15.b,2015,USA,Swimming,F,,N
114,2015.11.15.a,2015,USA,Surfing,M,28.0,N
115,2015.11.10,2015,AUSTRALIA,Surfing,M,20.0,N
116,2015.12.23,2015,USA,Surfing,F,9.0,N
117,2015.11.03,2015,USA,Swimming,M,54.0,N
118,2015.11.01.b,2015,USA,Wading,F,28.0,N
119,2015.11.01.a,2015,MOZAMBIQUE,Fishing,M,19.0,N
120,2015.10.30,2015,AUSTRALIA,Spearfishing,M,50.0,N
121,2015.10.28.a,2015,USA,Body boarding,M,10.0,N
122,2015.10.25,2015,SOUTH AFRICA,Surfing,M,42.0,N
123,2015.10.21,2015,USA,Surfing,M,21.0,N
124,2015.10.19,2015,USA,Surfing,M,21.0,N
125,2015.10.17.c,2015,MOZAMBIQUE,Fishing for shrimp,F,35.0,Y
126,2015.10.17.b,2015,USA,Surfing,M,32.0,N
127,2015.10.17.a,2015,USA,Swimming,M,44.0,N
128,2015.10.13,2015,USA,Kayak Fishing,M,,N
129,2015.10.09.b,2015,USA,Boogie boarding,F,9.0,N
130,2015.10.09.a,2015,USA,Surfing,M,25.0,N
131,2015.10.08,2015,MOZAMBIQUE,Fishing,M,,N
132,2015.10.07,2015,AUSTRALIA,Surfing,M,18.0,N
133,2015.10.05.b,2015,USA,Body boarding,M,22.0,N
