,Country,Year,Hemisphere,Season,Date,Case Number,Fatal (Yes/No),pdf,href formula
4173,USA,1952,Northern Hemisphere,Fall,07-Dec-52,1952.12.07,Y,1952.12.07-Wilson_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1952.12.07-Wilson_Collier.pdf
4174,USA,1952,Northern Hemisphere,Fall,03-Dec-52,1952.12.03,Y,1952.12.03-Solano.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1952.12.03-Solano.pdf
4175,PAPUA NEW GUINEA,1952,Southern Hemisphere,Spring,12-Oct-52,1952.10.12,N,1952.10.12-Lalaura.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1952.10.12-Lalaura.pdf
4176,SOUTH AFRICA,1952,Southern Hemisphere,Winter,06-Aug-52,1952.08.06,Y,1952.08.06-Ristow.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1952.08.06-Ristow.pdf
4178,USA,1952,Northern Hemisphere,Summer,27-Jul-52,1952.07.27.d,N,1952.07.27.d-Lunsford-boat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1952.07.27.d-Lunsford-boat.pdf
4179,USA,1952,Northern Hemisphere,Summer,27-Jul-52,1952.07.27.c,N,1952.07.27.c-TillmanHomes.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1952.07.27.c-TillmanHomes.pdf
4180,USA,1952,Northern Hemisphere,Summer,27-Jul-52,1952.07.27.b,N,1952.07.27.b-Jones.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1952.07.27.b-Jones.pdf
4181,USA,1952,Northern Hemisphere,Summer,27-Jul-52,1952.07.27.a,Y,1952.07.27.a-Sparetime.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1952.07.27.a-Sparetime.pdf
4182,USA,1952,Northern Hemisphere,Summer,13-Jul-52,1952.07.13,N,1952.07.13-Howard.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1952.07.13-Howard.pdf
4183,USA,1952,Northern Hemisphere,Summer,05-Jul-52,1952.07.05,N,1952.07.05-Morales.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1952.07.05-Morales.pdf
