,Country,Year,Hemisphere,Season,Date,Case Number,Fatal (Yes/No),pdf,href formula
1709,USA,2001,Northern Hemisphere,Summer,15-Jul-01,2001.07.15.b,N,2001.07.15.b-Waters.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.07.15.b-Waters.pdf
1710,USA,2001,Northern Hemisphere,Summer,15-Jul-01,2001.07.15.a,N,2001.07.15.a-Flanigan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.07.15.a-Flanigan.pdf
1711,MEXICO,2001,Northern Hemisphere,Summer,06-Jul-01,2001.07.06.b,N,2001.07.06.b-Fabel.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.07.06.b-Fabel.pdf
1712,USA,2001,Northern Hemisphere,Summer,06-Jul-01,2001.07.06.a,N,2001.07.06.a-Arbogast.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.07.06.a-Arbogast.pdf
1713,USA,2001,Northern Hemisphere,Summer,03-Jul-01,2001.07.03,N,2001.07.03-SouthCarolina.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.07.03-SouthCarolina.pdf
1714,USA,2001,Northern Hemisphere,Summer,Jul-01,2001.07.00,N,2001.07.00-Davis.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.07.00-Davis.pdf
1715,USA,2001,Northern Hemisphere,Spring,12-Jun-01,2001.06.12,N,2001.06.12-Black.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.06.12-Black.pdf
1716,USA,2001,Northern Hemisphere,Spring,10-Jun-01,2001.06.10,N,2001.06.10-McNair.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.06.10-McNair.pdf
1717,AUSTRALIA,2001,Southern Hemisphere,Fall,09-Jun-01,2001.06.09,Y,2001.06.09-Applet.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.06.09-Applet.pdf
1718,USA,2001,Northern Hemisphere,Spring,03-Jun-01,2001.06.03,N,2001.06.03-MaryPound.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.06.03-MaryPound.pdf
1719,USA,2001,Northern Hemisphere,Spring,29-May-01,2001.05.29,N,2001.05.29-Galveston.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.05.29-Galveston.pdf
1720,USA,2001,Northern Hemisphere,Spring,23-May-01,2001.05.23 ,N,2001.05.23-Choate.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.05.23-Choate.pdf
1721,USA,2001,Northern Hemisphere,Spring,20-May-01,2001.05.20,N,2001.05.20-Heidenreich.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.05.20-Heidenreich.pdf
1722,PHILIPPINES,2001,Northern Hemisphere,Spring,18-May-01,2001.05.18,N,2001.05.18-Badi.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.05.18-Badi.pdf
1723,MADAGASCAR,2001,Southern Hemisphere,Fall,11-May-01,2001.05.11,Y,2001.05.11-Madagascar.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.05.11-Madagascar.pdf
1724,SOUTH AFRICA,2001,Southern Hemisphere,Fall,08-May-01,2001.05.08,N,2001.05.08-Van Staden.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.05.08-Van Staden.pdf
1725,AUSTRALIA,2001,Southern Hemisphere,Fall,04-May-01,2001.05.04,N,2001.05.04-Valentine.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.05.04-Valentine.pdf
1726,USA,2001,Northern Hemisphere,Spring,03-May-01,2001.05.03,N,2001.05.03-McCall.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.05.03-McCall.pdf
1727,FIJI,2001,Southern Hemisphere,Fall,May-01,2001.05.00,Y,2001.05.00-Fiji.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.05.00-Fiji.pdf
1728,USA,2001,Northern Hemisphere,Spring,28-Apr-01,2001.04.28,N,2001.04.28-NV-NewSmyrnaBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.28-NV-NewSmyrnaBeach.pdf
1729,USA,2001,Northern Hemisphere,Spring,13-Apr-01,2001.04.13.b,N,2001.04.13.b-Bush.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.13.b-Bush.pdf
1730,USA,2001,Northern Hemisphere,Spring,13-Apr-01,2001.04.13.a,N,2001.04.13.a-Barron.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.13.a-Barron.pdf
1731,USA,2001,Northern Hemisphere,Spring,12-Apr-01,2001.04.12.e,N,2001.04.12.e-WavelandBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.12.e-WavelandBeach.pdf
1732,USA,2001,Northern Hemisphere,Spring,12-Apr-01,2001.04.12.d,N,2001.04.12.d-Spence.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.12.d-Spence.pdf
1733,USA,2001,Northern Hemisphere,Spring,12-Apr-01,2001.04.12.c,N,2001.04.12.c-Browning.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.12.c-Browning.pdf
1734,USA,2001,Northern Hemisphere,Spring,12-Apr-01,2001.04.12.b,N,2001.04.12.b-Fasio.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.12.b-Fasio.pdf
1735,USA,2001,Northern Hemisphere,Spring,12-Apr-01,2001.04.12.a,N,2001.04.12.a-Lloyd.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.12.a-Lloyd.pdf
1736,USA,2001,Northern Hemisphere,Spring,11-Apr-01,2001.04.11.d,N,2001.04.11.d-Thresher.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.11.d-Thresher.pdf
1737,USA,2001,Northern Hemisphere,Spring,11-Apr-01,2001.04.11.c,N,2001.04.11.c-NV-Carter.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.11.c-NV-Carter.pdf
1738,USA,2001,Northern Hemisphere,Spring,11-Apr-01,2001.04.11.a,N,2001.04.11.a-Dano.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.11.a-Dano.pdf
1739,USA,2001,Northern Hemisphere,Spring,10-Apr-01,2001.04.10,N,2001.04.10-PortOrangeSurfer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.10-PortOrangeSurfer.pdf
1740,SOUTH AFRICA,2001,Southern Hemisphere,Fall,08-Apr-01,2001.04.08.b,N,2001.04.08.b-Hogan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.08.b-Hogan.pdf
1741,AUSTRALIA,2001,Southern Hemisphere,Fall,08-Apr-01,2001.04.08.a,N,2001.04.08.a-Markossian.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.08.a-Markossian.pdf
1742,USA,2001,Northern Hemisphere,Spring,05-Apr-01,2001.04.05,N,2001.04.05-Bartholem.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.05-Bartholem.pdf
1743,BRAZIL,2001,Southern Hemisphere,02-Ap-2001,02-Ap-2001,2001.04.02.b,N,2001.04.02.b-ACC.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.02.b-ACC.pdf
1744,AUSTRALIA,2001,Southern Hemisphere,Fall,02-Apr-01,2001.04.02.a,N,2001.04.02.a-Ellis.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.04.02.a-Ellis.pdf
1745,USA,2001,Northern Hemisphere,Winter,23-Mar-01,2001.03.23,N,2001.03.23-Mendez.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.03.23-Mendez.pdf
1746,USA,2001,Northern Hemisphere,Winter,09-Mar-01,2001.03.09,N,2001.03.09-Hooker.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.03.09-Hooker.pdf
1747,BRAZIL,2001,Southern Hemisphere,Summer,08-Mar-01,2001.03.08,N,2001.03.08-VAF.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.03.08-VAF.pdf
1748,BRAZIL,2001,Southern Hemisphere,Summer,03-Mar-01,2001.03.03,Y,2001.03.03-Brasileiro.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.03.03-Brasileiro.pdf
1749,,2001,nan,Summer,Mar-01,2001.03.00,Y,2001.03.00-Anguilla.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.03.00-Anguilla.pdf
1750,AUSTRALIA,2001,Southern Hemisphere,Summer,26-Feb-01,2001.02.26,N,2001.02.26-BOAT.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.02.26-BOAT.pdf
1751,MALAYSIA,2001,Northern Hemisphere,Winter,11-Feb-01,2001.02.11,Y,2001.02.11-Pangkor.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.02.11-Pangkor.pdf
1752,AUSTRALIA,2001,Southern Hemisphere,Summer,04-Feb-01,2001.02.04,N,2001.02.04-Butler.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.02.04-Butler.pdf
1753,AUSTRALIA,2001,Southern Hemisphere,Summer,Reported  24-Jan-2001,2001.01.24.R,N,2001.01.24.R-Elkinton.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.01.24.R-Elkinton.pdf
1754,CUBA,2001,Northern Hemisphere,Winter,24-Jan-01,2001.01.24,N,2001.01.24.a-Hamalainen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.01.24.a-Hamalainen.pdf
1755,AUSTRALIA,2001,Southern Hemisphere,Summer,21-Jan-01,2001.01.21 ,N,2001.01.21-FishingBoats.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.01.21-FishingBoats.pdf
1756,USA,2001,Northern Hemisphere,Winter,09-Jan-01,2001.01.09,N,2001.01.09-McCash.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.01.09-McCash.pdf
1757,NEW ZEALAND,2001,Southern Hemisphere,Summer,06-Jan-01,2001.01.06,N,2001.01.06-MikeHogan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.01.06-MikeHogan.pdf
1758,AUSTRALIA,2000,Southern Hemisphere,Spring,24-Dec-00,2000.12.24,N,2000.12.24-FlindersDiver.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.12.24-FlindersDiver.pdf
1759,FIJI,2000,Southern Hemisphere,Spring,12-Dec-00,2000.12.12,Y,2000.12.12-Loxton.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.12.12-Loxton.pdf
1760,AUSTRALIA,2000,Southern Hemisphere,Spring,11-Dec-00,2000.12.11,N,2000.12.11- boat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.12.11- boat.pdf
1761,CANADA,2000,Northern Hemisphere,Fall,05-Dec-00,2000.12.05,N,2000.12.05-MacDonald.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.12.05-MacDonald.pdf
1762,AUSTRALIA,2000,Southern Hemisphere,Spring,03-Dec-00,2000.12.03,N,2000.12.03-ChrisHogan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.12.03-ChrisHogan.pdf
1763,NEW ZEALAND,2000,Southern Hemisphere,Spring,Dec-00,2000.12.00,Y,2000.12.00 - Arorangi.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.12.00 - Arorangi.pdf
1764,AUSTRALIA,2000,Southern Hemisphere,Spring,21-Nov-00,2000.11.21,N,2000.11.21-Lyons.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.11.21-Lyons.pdf
1765,AUSTRALIA,2000,Southern Hemisphere,Spring,20-Nov-00,2000.11.20,Y,2000.11.20-Thorpe.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.11.20-Thorpe.pdf
1766,USA,2000,Northern Hemisphere,Fall,17-Nov-00,2000.11.18,N,2000.11.18-Shadforth.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.11.18-Shadforth.pdf
1767,USA,2000,Northern Hemisphere,Fall,10-Nov-00,2000.11.10,N,2000.11.10-Skeie.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.11.10-Skeie.pdf
1768,AUSTRALIA,2000,Southern Hemisphere,Spring,06-Nov-00,2000.11.06.b,N,2000.11.06.b-Avery.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.11.06.b-Avery.pdf
1769,AUSTRALIA,2000,Southern Hemisphere,Spring,06-Nov-00,2000.11.06.a,Y,2000.11.06.a-KenCrew.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.11.06.a-KenCrew.pdf
1770,USA,2000,Northern Hemisphere,Fall,04-Nov-00,2000.11.04,N,2000.11.04-Stewman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.11.04-Stewman.pdf
1771,AUSTRALIA,2000,Southern Hemisphere,Spring,29-Oct-00,2000.10.29,N,2000.10.29-Kelly.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.10.29-Kelly.pdf
1772,USA,2000,Northern Hemisphere,Fall,20-Oct-00,2000.10.20,N,2000.10.20-Licamele.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.10.20-Licamele.pdf
1773,USA,2000,Northern Hemisphere,Fall,18-Oct-00,2000.10.18,N,2000.10.18-Musselwhite.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.10.18-Musselwhite.pdf
1774,USA,2000,Northern Hemisphere,Fall,14-Oct-00,2000.10.14,N,2000.10.14-Payne.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.10.14-Payne.pdf
1775,USA,2000,Northern Hemisphere,Fall,09-Oct-00,2000.10.09,N,2000.10.09-Kraskiecwicz.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.10.09-Kraskiecwicz.pdf
1776,USA,2000,Northern Hemisphere,Fall,06-Oct-00,2000.10.06.b,N,2000.10.06.b-White.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.10.06.b-White.pdf
1777,USA,2000,Northern Hemisphere,Fall,06-Oct-00,2000.10.06.a,N,2000.10.06.a-Holley.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.10.06.a-Holley.pdf
1778,USA,2000,Northern Hemisphere,Fall,02-Oct-00,2000.10.02,N,2000.10.02-Taylor.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.10.02-Taylor.pdf
1779,USA,2000,Northern Hemisphere,Summer,29-Sep-00,2000.09.29,N,2000.09.29-Euwer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.09.29-Euwer.pdf
1780,AUSTRALIA,2000,Southern Hemisphere,Winter,25-Sep-00,2000.09.25,Y,2000.09.25-Wright.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.09.25-Wright.pdf
1781,AUSTRALIA,2000,Southern Hemisphere,Winter,24-Sep-00,2000.09.24,Y,2000.09.24-Bayes.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.09.24-Bayes.pdf
1782,AUSTRALIA,2000,Southern Hemisphere,Winter,19-Sep-00,2000.09.18,N,2000.09.18-boy_provoked.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.09.18-boy_provoked.pdf
1783,OKINAWA,2000,Northern Hemisphere,Summer,16-Sep-00,2000.09.16.b,Y,2000.09.16.b-Miura.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.09.16.b-Miura.pdf
1784,USA,2000,Northern Hemisphere,Summer,16-Sep-00,2000.09.16.a,N,2000.09.16.a-NV-IsleOfPalms.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.09.16.a-NV-IsleOfPalms.pdf
1785,USA,2000,Northern Hemisphere,Summer,15-Sep-00,2000.09.15,N,2000.09.15-Smith.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.09.15-Smith.pdf
1786,USA,2000,Northern Hemisphere,Summer,12-Sep-00,2000.09.12,N,2000.09.12-Fried.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.09.12-Fried.pdf
1787,USA,2000,Northern Hemisphere,Summer,11-Sep-00,2000.09.11,N,2000.09.11-Armstrong.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.09.11-Armstrong.pdf
1788,USA,2000,Northern Hemisphere,Summer,10-Sep-00,2000.09.10.b,N,2000.09.10.b-Boy.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.09.10.b-Boy.pdf
1789,SOUTH AFRICA,2000,Southern Hemisphere,Winter,10-Sep-00,2000.09.10.a,N,2000.09.10.a-Adkinson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.09.10.a-Adkinson.pdf
1790,TANZANIA,2000,Southern Hemisphere,Winter,08-Sep-00,2000.09.08.c,Y,2000.09.08.c-Msemwa.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.09.08.c-Msemwa.pdf
1791,USA,2000,Northern Hemisphere,Summer,08-Sep-00,2000.09.08.b,N,2000.09.08.b-Crane.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.09.08.b-Crane.pdf
1792,REUNION,2000,Southern Hemisphere,Winter,08-Sep-00,2000.09.08.a,N,2000.09.08.a-KarimMaan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.09.08.a-KarimMaan.pdf
1793,TANZANIA,2000,Southern Hemisphere,Winter,Early Sep-2000,2000.09.00.b,Y,2000.09.00-CocoBeach4.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.09.00-CocoBeach4.pdf
1794,USA,2000,Northern Hemisphere,Summer,31-Aug-00,2000.08.31,N,2000.08.31-Johnson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.08.31-Johnson.pdf
1795,USA,2000,Northern Hemisphere,Summer,30-Aug-00,2000.08.30,Y,2000.08.30-Kubinski.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.08.30-Kubinski.pdf
1796,USA,2000,Northern Hemisphere,Summer,Reported 27-Aug-2000,2000.08.27.R,N,2000.08.27.R-BruceWright.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.08.27.R-BruceWright.pdf
1797,USA,2000,Northern Hemisphere,Summer,21-Aug-00,2000.08.21,N,2000.08.21-male.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.08.21-male.pdf
1798,USA,2000,Northern Hemisphere,Summer,15-Aug-00,2000.08.15,N,2000.08.15-Goenvec.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.08.15-Goenvec.pdf
1799,USA,2000,Northern Hemisphere,Summer,13-Aug-00,2000.08.13,N,2000.08.13-JasonWuss.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.08.13-JasonWuss.pdf
1800,USA,2000,Northern Hemisphere,Summer,12-Aug-00,2000.08.12,N,2000.08.12-MargaretWhite.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.08.12-MargaretWhite.pdf
1801,USA,2000,Northern Hemisphere,Summer,11-Aug-00,2000.08.11,N,2000.08.11-Macatee.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.08.11-Macatee.pdf
1802,USA,2000,Northern Hemisphere,Summer,10-Aug-00,2000.08.10,Y,2000.08.10-BuenoBrothers.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.08.10-BuenoBrothers.pdf
1803,TANZANIA,2000,Southern Hemisphere,Winter,Aug-00,2000.08.00,Y,2000.08.00-NV-Tanzania.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.08.00-NV-Tanzania.pdf
1804,USA,2000,Northern Hemisphere,Summer,25-Jul-00,2000.07.25,N,2000.07.25-male.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.07.25-male.pdf
1805,USA,2000,Northern Hemisphere,Summer,22-Jul-00,2000.07.22,N,2000.07.22-Nani.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.07.22-Nani.pdf
1806,USA,2000,Northern Hemisphere,Summer,17-Jul-00,2000.07.17,N,2000.07.17-Bruff.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.07.17-Bruff.pdf
1807,USA,2000,Northern Hemisphere,Summer,16-Jul-00,2000.07.16.b,N,2000.07.16.b-Poynter.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.07.16.b-Poynter.pdf
1808,SOUTH AFRICA,2000,Southern Hemisphere,Winter,16-Jul-00,2000.07.16.a,N,2000.07.16.a-Ainslie.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.07.16.a-Ainslie.pdf
1809,SOUTH AFRICA,2000,Southern Hemisphere,Winter,15-Jul-00,2000.07.15.b,N,2000.07.15.b-NV-CapeRecife.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.07.15.b-NV-CapeRecife.pdf
1810,SOUTH AFRICA,2000,Southern Hemisphere,Winter,15-Jul-00,2000.07.15.a,N,2000.07.15.a-Barnes.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.07.15.a-Barnes.pdf
1811,TONGA,2000,Southern Hemisphere,Winter,12-Jul-00,2000.07.12,N,2000.07.12-Eckoff.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.07.12-Eckoff.pdf
1812,USA,2000,Northern Hemisphere,Summer,10-Jul-00,2000.07.10,N,2000.07.10-MA.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.07.10-MA.pdf
1813,USA,2000,Northern Hemisphere,Summer,09-Jul-00,2000.07.09,N,2000.07.09-Zent.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.07.09-Zent.pdf
1814,USA,2000,Northern Hemisphere,Summer,07-Jul-00,2000.07.07,N,2000.07.07-Doolittle.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.07.07-Doolittle.pdf
1815,USA,2000,Northern Hemisphere,Summer,06-Jul-00,2000.07.06,N,2000.07.06-Walker.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.07.06-Walker.pdf
1816,USA,2000,Northern Hemisphere,Summer,04-Jul-00,2000.07.04.b,N,2000.07.04.b-Peterson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.07.04.b-Peterson.pdf
1817,USA,2000,Northern Hemisphere,Summer,04-Jul-00,2000.07.04.a,N,2000.07.04.a-Comstock.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.07.04.a-Comstock.pdf
1818,USA,2000,Northern Hemisphere,Summer,02-Jul-00,2000.07.02.b,N,2000.07.02.b-Benningfield.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.07.02.b-Benningfield.pdf
1819,USA,2000,Northern Hemisphere,Summer,02-Jul-00,2000.07.02.a,N,2000.07.02.a-Shidemantle.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.07.02.a-Shidemantle.pdf
1820,TANZANIA,2000,Southern Hemisphere,Winter,Jul-00,2000.07.00,Y,2000.07.00-NV-Tanzania.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.07.00-NV-Tanzania.pdf
1821,PAPUA NEW GUINEA,2000,Southern Hemisphere,Fall,30-Jun-00,2000.06.30,Y,2000.06.30-NV-PNG.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.06.30-NV-PNG.pdf
1822,NEW ZEALAND,2000,Southern Hemisphere,Fall,29-Jun-00,2000.06.29,N,2000.06.29-Halse-Ward.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.06.29-Halse-Ward.pdf
1823,USA,2000,Northern Hemisphere,Spring,19-Jun-00,2000.06.19,N,2000.06.19-Alegood.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.06.19-Alegood.pdf
1824,USA,2000,Northern Hemisphere,Spring,13-Jun-00,2000.06.13,N,2000.06.13-boat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.06.13-boat.pdf
1825,USA,2000,Northern Hemisphere,Spring,10-Jun-00,2000.06.10,N,2000.06.10-Alexander.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.06.10-Alexander.pdf
1826,USA,2000,Northern Hemisphere,Spring,09-Jun-00,2000.06.09.b,N,2000.06.09.b-Watley.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.06.09.b-Watley.pdf
1827,USA,2000,Northern Hemisphere,Spring,09-Jun-00,2000.06.09.a,N,2000.06.09.a-Anderson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.06.09.a-Anderson.pdf
1828,USA,2000,Northern Hemisphere,Spring,02-Jun-00,2000.06.02,N,2000.06.02-Alcorn.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.06.02-Alcorn.pdf
1829,TANZANIA,2000,Southern Hemisphere,Fall,Early Jun-2000,2000.06.00,Y,2000.06.00-CocoBeach1.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.06.00-CocoBeach1.pdf
1830,NEW CALEDONIA,2000,Southern Hemisphere,Fall,13-May-00,2000.05.13,Y,2000.05.13-aircraft.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.05.13-aircraft.pdf
1831,AUSTRALIA,2000,Southern Hemisphere,Fall,09-May-00,2000.05.09,Y,2000.05.09-foot.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.05.09-foot.pdf
1832,PAPUA NEW GUINEA,2000,Southern Hemisphere,Fall,07-May-00,2000.05.07.b,N,2000.05.07.b-Adam.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.05.07.b-Adam.pdf
1833,PAPUA NEW GUINEA,2000,Southern Hemisphere,Fall,07-May-00,2000.05.07.a,Y,2000.05.07.a-diver.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.05.07.a-diver.pdf
1834,USA,2000,Northern Hemisphere,Spring,14-Apr-00,2000.04.14,N,2000.04.14-Metz.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.04.14-Metz.pdf
1835,USA,2000,Northern Hemisphere,Spring,09-Apr-00,2000.04.09,N,2000.04.09-boy.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.04.09-boy.pdf
1836,USA,2000,Northern Hemisphere,Winter,31-Mar-00,2000.03.31,N,2000.03.31-Edwards.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.03.31-Edwards.pdf
1837,AUSTRALIA,2000,Southern Hemisphere,Summer,30-Mar-00,2000.03.30,N,2000.03.30-Rojcevic.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.03.30-Rojcevic.pdf
1838,USA,2000,Northern Hemisphere,Winter,26-Mar-00,2000.03.26,N,2000.03.26-VanOlst.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.03.26-VanOlst.pdf
1839,USA,2000,Northern Hemisphere,Winter,24-Mar-00,2000.03.24,N,2000.03.24-Pasonski.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.03.24-Pasonski.pdf
1840,NEW CALEDONIA,2000,Southern Hemisphere,Summer,15-Mar-00,2000.03.15,Y,2000.03.15-GilbertBui.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.03.15-GilbertBui.pdf
1841,AUSTRALIA,2000,Southern Hemisphere,Summer,14-Mar-00,2000.03.14,N,2000.03.14-Ruth.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.03.14-Ruth.pdf
1842,AUSTRALIA,2000,Southern Hemisphere,Summer,10-Mar-00,2000.03.10,N,2000.03.10-rowers.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.03.10-rowers.pdf
