case_number,date,year,country,sex,age,fatal,provoked,season
1982.05.00,May-82,1982,USA,F,,1,,Spring
1982.03.10,10-Mar-82,1982,USA,M,16.0,0,0,Winter
1982.03.07,07-Mar-82,1982,AUSTRALIA,M,20.0,1,0,Winter
1982.03.00,Mar-82,1982,NEW CALEDONIA,,,0,0,Winter
1982.02.28,28-Feb-82,1982,AUSTRALIA,M,32.0,1,0,Winter
1982.02.27,27-Feb-82,1982,USA,M,18.0,0,0,Winter
1982.02.17,17-Feb-82,1982,SOUTH AFRICA,M,,0,1,Winter
1982.02.14.b,14-Feb-82,1982,USA,F,,0,0,Winter
1982.02.14.a,14-Feb-82,1982,USA,F,,0,0,Winter
1982.02.13,13-Feb-82,1982,USA,F,75.0,1,0,Winter
1982.02.07.a,07-Feb-82,1982,USA,M,,0,0,Winter
1982.02.07..b,07-Feb-82,1982,USA,M,29.0,1,0,Winter
1982.01.29,29-Jan-82,1982,SOUTH AFRICA,M,20.0,0,0,Winter
1982.00.00.c,1982,1982,ITALY,M,,,,
1982.00.00.b,1982,1982,ITALY,M,,0,,
1982.00.00.a,1982,1982,TUNISIA,,,,0,
1981.12.19,19-Dec-81,1981,USA,M,24.0,1,0,Autnum
1981.12.13.b,13-Dec-81,1981,AUSTRALIA,,,0,0,Autnum
1981.12.13.a,13-Dec-81,1981,USA,M,,0,0,Autnum
1981.11.30,30-Nov-81,1981,REUNION,M,,0,0,Autnum
1981.10.19.b,19-Oct-81,1981,SOUTH AFRICA,M,,0,1,Autnum
1981.11.09,09-Nov-81,1981,USA,M,59.0,0,0,Autnum
1981.10.19.a,19-Oct-81,1981,USA,M,19.0,0,0,Autnum
1981.10.17,17-Oct-81,1981,USA,M,,,0,Autnum
1981.10.16,16-Oct-81,1981,USA,M,17.0,0,0,Autnum
1981.10.01,01-Oct-81,1981,USA,M,24.0,0,0,Autnum
1981.09.28,28-Sep-81,1981,USA,M,28.0,0,0,Summer
1981.09.27,27-Sep-81,1981,USA,,,0,0,Summer
1981.09.15,15-Sep-81,1981,USA,M,26.0,1,0,Summer
1981.09.03.b,03-Sep-81,1981,USA,M,25.0,0,0,Summer
1981.09.03.a,03-Sep-81,1981,USA,M,24.0,0,0,Summer
1981.08.29,29-Aug-81,1981,USA,M,15.0,0,0,Summer
1981.08.24.b,24-Aug-81,1981,USA,M,19.0,0,1,Summer
1981.08.24.a,24-Aug-81,1981,USA,M,,1,,Summer
1981.08.10.b,10-Aug-81,1981,USA,M,,0,0,Summer
1981.08.10.a,10-Aug-81,1981,USA,F,19.0,1,0,Summer
1981.08.07,07-Aug-81,1981,BAHAMAS,M,53.0,0,0,Summer
1981.07.20,20-Jul-81,1981,USA,F,16.0,0,0,Summer
1981.07.18,18-Jul-81,1981,SOUTH AFRICA,M,32.0,0,0,Summer
1981.07.07,07-Jul-81,1981,USA,M,,0,0,Summer
1981.07.01,01-Jul-81,1981,SOUTH AFRICA,M,,0,0,Summer
1981.06.15.R,Reported 15-Jun-1981,1981,ENGLAND,M,,0,,Spring
1981.06.12,12-Jun-81,1981,USA,M,,1,,Spring
1981.05.24,24-May-81,1981,USA,M,,1,0,Spring
1981.05.23,23-May-81,1981,SOUTH KOREA,F,27.0,1,0,Spring
1981.05.20,20-May-81,1981,SOUTH AFRICA,M,27.0,0,0,Spring
1981.05.19,19-May-81,1981,USA,M,32.0,0,0,Spring
1981.05.16,16-May-81,1981,USA,M,,0,0,Spring
1981.05.10,10-May-81,1981,SOUTH AFRICA,M,19.0,0,0,Spring
1981.05.07,07-May-81,1981,NAMIBIA,M,,0,1,Spring
1981.03.08,08-Mar-81,1981,BERMUDA,,,0,0,Winter
1981.05.05,05-May-81,1981,SOUTH AFRICA,M,24.0,0,0,Spring
1981.03.25,25-Mar-81,1981,USA,M,19.0,0,0,Winter
1981.03.24,24-Mar-81,1981,USA,M,24.0,0,0,Winter
1981.03.04,04-Mar-81,1981,CHILE,M,,0,0,Winter
1981.03.00,Mar-81,1981,BRAZIL,,,,0,Winter
1981.02.19,19-Feb-81,1981,SOUTH AFRICA,M,30.0,0,0,Winter
1981.02.16,16-Feb-81,1981,AUSTRALIA,M,,0,0,Winter
1981.02.07,07-Feb-81,1981,AUSTRALIA,,,,0,Winter
1981.02.02,02-Feb-81,1981,USA,M,15.0,0,0,Winter
1981.02.00,Feb-81,1981,BRAZIL,,,0,0,Winter
1981.01.30,30-Jan-81,1981,USA,M,25.0,0,0,Winter
1981.01.01,01-Jan-81,1981,SOUTH AFRICA,M,23.0,1,,Winter
1981.00.00.b,1981,1981,AUSTRALIA,M,27.0,0,0,
1981.00.00.a,Summer of 1981,1981,GREECE,M,,0,0,
1980.12.30,12-30-1980,1980,SOUTH AFRICA,M,25.0,0,0,
1980.12.26,26-Dec-80,1980,SOUTH AFRICA,,,1,,Autnum
1980.11.24,24-Nov-80,1980,REUNION,M,22.0,0,0,Autnum
1980.11.18,18-Nov-80,1980,AUSTRALIA,M,,0,0,Autnum
1980.11.17,17-Nov-80,1980,SOUTH AFRICA,M,,1,,Autnum
1980.11.11.,11-Nov-80,1980,BRAZIL,M,16.0,1,0,Autnum
1980.10.27,27-Oct-80,1980,USA,M,29.0,0,0,Autnum
1980.10.17,17-Oct-80,1980,USA,M,19.0,0,0,Autnum
1980.08.22.R,Reported 22-Aug-1980,1980,MEXICO,M,22.0,1,0,Summer
1980.08.10,10-Aug-80,1980,USA,F,10.0,0,0,Summer
1980.08.04,04-Aug-80,1980,USA,M,,0,0,Summer
1980.07.26,26-Jul-80,1980,SPAIN,M,,0,0,Summer
1980.07.27,27-Jul-80,1980,USA,M,15.0,0,0,Summer
1980.07.23,23-Jul-80,1980,USA,F,22.0,0,0,Summer
1980.07.00,Late Jul-1980,1980,USA,M,,0,0,Summer
1980.07.00,Early Jul-1980,1980,USA,M,,0,0,Summer
1980.06.26,26-Jun-80,1980,USA,F,44.0,0,1,Spring
1980.05.15,15-May-80,1980,SOUTH AFRICA,M,22.0,0,0,Spring
1980.04.25,25-Apr-80,1980,JAMAICA,M,,0,1,Spring
1980.04.22,22-Apr-80,1980,PHILIPPINES,,,1,0,Spring
1980.04.00,Apr-80,1980,MEXICO,F,13.0,0,0,Spring
1980.03.29,29-Mar-80,1980,SOUTH AFRICA,M,52.0,1,0,Winter
1980.03.28,28-Mar-80,1980,BRAZIL,M,,0,0,Winter
1980.03.15,15-Mar-80,1980,PHILIPPINES,F,,1,0,Winter
1980.03.11,11-Mar-80,1980,SOUTH AFRICA,M,61.0,0,1,Winter
1980.01.31,31-Jan-80,1980,SOUTH AFRICA,M,24.0,0,0,Winter
1980.01.25,25-Jan-80,1980,KENYA,M,29.0,0,0,Winter
1980.01.15,15-Jan-80,1980,SOUTH AFRICA,M,29.0,0,1,Winter
1980.01.13,13-Jan-80,1980,SOUTH AFRICA,M,,0,0,Winter
1980.01.10,10-Jan-80,1980,SOUTH AFRICA,M,25.0,0,0,Winter
1980.01.05,05-Jan-80,1980,CHILE,M,,1,0,Winter
1980.00.00.d,Summer 1980,1980,,M,34.0,0,1,
1980.00.00.c,1980s ,1980,GREECE,M,,0,,
1980.00.00.b,1980,1980,SOUTH AFRICA,M,20.0,0,,
1980.00.00.a,1980s ,1980,TONGA,M,,0,0,
1979.12.21,21-Dec-79,1979,SOUTH AFRICA,M,18.0,0,0,Autnum
1979.12.00,05-Dec-79,1979,PORTUGAL,M,19.0,1,,Autnum
1979.12.01, 01-Dec-1979,1979,,M,32.0,0,0,Autnum
1979.11.27,27-Nov-79,1979,USA,M,20.0,0,0,Autnum
1979.11.12,12-Nov-79,1979,SOUTH AFRICA,,,0,1,Autnum
1979.10.22,22-Oct-79,1979,SOUTH AFRICA,M,,0,1,Autnum
1979.09.14,14-Sep-79,1979,AUSTRALIA,M,18.0,0,0,Summer
1979.08.28,28-Aug-79,1979,HONG KONG,M,21.0,1,0,Summer
1979.08.26,26-Aug-79,1979,HONG KONG,M,16.0,1,0,Summer
1979.08.05,05-Aug-79,1979,USA,M,49.0,0,0,Summer
1979.08.03,03-Aug-79,1979,THAILAND,M,,1,0,Summer
1979.06.19,19-Jun-79,1979,USA,M,56.0,0,0,Spring
1979.05.27,27-May-79,1979,USA,M,36.0,1,,Spring
1979.05.05,05-May-79,1979,SOUTH AFRICA,M,25.0,0,1,Spring
1979.05.03,03-May-79,1979,SOUTH AFRICA,M,,1,0,Spring
1979.05.00.c,May-79,1979,NEW CALEDONIA,,,0,0,Spring
1979.05.00.b,May-79,1979,NEW CALEDONIA,M,,1,0,Spring
1979.04.08.b,08-Apr-79,1979,USA,M,24.0,0,0,Spring
1979.04.08.a,08-Apr-79,1979,USA,M,8.0,0,0,Spring
1979.03.24,24-Mar-79,1979,USA,M,27.0,0,0,Winter
1979.03.11,11-Mar-79,1979,USA,M,,0,0,Winter
1979.03.01,01-Mar-79,1979,SOUTH AFRICA,,,0,,Winter
1979.03.00,Mar-79,1979,NEW CALEDONIA,M,,1,0,Winter
1979.02.21,21-Feb-79,1979,SOUTH AFRICA,M,19.0,0,0,Winter
1979.00.00,1979,1979,USA,M,,1,0,
1978.12.29,29-Dec-78,1978,AUSTRALIA,M,,0,0,Autnum
1978.12.12,12-Dec-78,1978,SOUTH AFRICA,M,23.0,1,0,Autnum
1978.11.26,26-Nov-78,1978,USA,M,,0,0,Autnum
1978.11.23,23-Nov-78,1978,USA,M,17.0,0,0,Autnum
1978.10.21,21-Oct-78,1978,SOUTH AFRICA,M,,1,,Autnum
1978.09.27,27-Sep-78,1978,SOUTH AFRICA,M,27.0,0,0,Summer
1978.09.16,16-Sep-78,1978,ITALY,M,,0,0,Summer
1978.09.02.R,Reported 02-Sep-1978,1978,AUSTRALIA,M,34.0,0,0,Summer
1978.08.05,05-Aug-78,1978,USA,M,,0,0,Summer
1978.08.01.R,Reported 01-Aug-1978,1978,USA,M,27.0,0,0,Summer
1978.07.27,27-Jul-78,1978,USA,M,39.0,0,0,Summer
1978.07.19,19-Jul-78,1978,USA,M,27.0,0,1,Summer
1978.06.21.b,21-Jun-78,1978,USA,M,20.0,0,0,Spring
1978.06.21.a,21-Jun-78,1978,USA,M,17.0,0,0,Spring
1978.06.07,07-Jun-78,1978,ITALY,,,0,,Spring
1978.04.02.b,02-Apr-78,1978,MARSHALL ISLANDS,M,25.0,0,0,Spring
1978.04.02.a,02-Apr-78,1978,MARSHALL ISLANDS,M,23.0,0,0,Spring
1978.04.00,Apr-1978`,1978,AUSTRALIA,M,,0,0,Spring
1978.03.05,05-Mar-78,1978,SOUTH AFRICA,,,0,,Winter
1978.02.28,28-Feb-78,1978,SOUTH AFRICA,,,0,0,Winter
1978.02.19,19-Feb-78,1978,SOUTH AFRICA,M,,0,0,Winter
1978.01.17,07-Jan-78,1978,SOUTH AFRICA,M,17.0,0,0,Winter
1978.01.06,06-Jan-78,1978,SOUTH AFRICA,M,,1,,Winter
1978.00.00.b,1978,1978,USA,F,,0,0,
1978.00.00.a,1978,1978,VANUATU,F,,1,0,
1977.12.31,31-Dec-77,1977,USA,M,49.0,0,0,Autnum
1977.12.19.b,19-Dec-77,1977,USA,M,27.0,0,0,Autnum
1977.12.19.a,19-Dec-77,1977,SOUTH AFRICA,M,18.0,0,0,Autnum
1977.12.00,Dec-77,1977,SOUTH AFRICA,,,0,,Autnum
1977.11.12,12-Nov-77,1977,SOUTH AFRICA,M,,0,1,Autnum
1977.10.30,30-Oct-77,1977,SOUTH AFRICA,M,25.0,0,0,Autnum
1977.08.31,31-Aug-77,1977,AUSTRALIA,M,17.0,0,0,Summer
1977.08.23,23-Aug-77,1977,AUSTRALIA,M,25.0,1,0,Summer
1977.08.19,19-Aug-77,1977,SOUTH AFRICA,M,,0,,Summer
1977.08.14,14-Aug-77,1977,USA,M,20.0,0,0,Summer
1977.08.05,05-Aug-77,1977,USA,M,17.0,0,,Summer
1977.07.02,02-Jul-77,1977,USA,M,21.0,0,0,Summer
1977.06.26,26-Jun-77,1977,USA,M,27.0,0,1,Spring
1977.06.06,06-Jun-77,1977,USA,M,25.0,0,0,Spring
1977.05.26,26-May-77,1977,SOUTH AFRICA,M,,0,,Spring
1977.05.16,16-May-77,1977,AUSTRALIA,M,,0,,Spring
1977.04.26,26-Apr-77,1977,AUSTRALIA,M,,0,0,Spring
1977.04.21,21-Apr-77,1977,USA,M,,0,0,Spring
1977.03.17,17-Mar-77,1977,SOUTH AFRICA,M,31.0,0,0,Winter
1977.03.13.c,13-Mar-77,1977,AUSTRALIA,M,32.0,0,0,Winter
1977.03.13.b,13-Mar-77,1977,AUSTRALIA,M,74.0,1,0,Winter
1977.03.13.a,13-Mar-77,1977,AUSTRALIA,M,45.0,1,0,Winter
1977.02.26,26-Feb-77,1977,AUSTRALIA,M,24.0,0,0,Winter
1977.02.04,04-Feb-77,1977,AUSTRALIA,M,,1,,Winter
1977.02.00,Feb-77,1977,NEW CALEDONIA,,,0,0,Winter
1977.01.00,Jan-77,1977,MEXICO,M,,1,0,Winter
1976.12.29,29-Dec-76,1976,AUSTRALIA,M,,0,0,Autnum
1976.12.18,18-Dec-76,1976,USA,M,29.0,0,0,Autnum
1976.11.27,27-Nov-76,1976,SOUTH AFRICA,M,19.0,0,0,Autnum
1976.11.26,26-Nov-76,1976,AUSTRALIA,,,1,,Autnum
1976.11.25,25-Nov-76,1976,USA,M,19.0,0,0,Autnum
1976.11.23,23-Nov-76,1976,SOUTH AFRICA,M,17.0,0,,Autnum
1976.11.06,Nov-76,1976,SOUTH AFRICA,,,0,1,Autnum
1976.10.27,27-Oct-76,1976,SOUTH AFRICA,,,0,,Autnum
1976.10.18,18-Oct-76,1976,USA,M,25.0,0,0,Autnum
1976.10.06,06-Oct-76,1976,SOUTH AFRICA,M,20.0,0,0,Autnum
1976.09.22,22-Sep-76,1976,NEW CALEDONIA,,,0,0,Summer
1976.09.19,19-Sep-76,1976,AUSTRALIA,M,27.0,0,0,Summer
1976.09.17,17-Sep-76,1976,HONG KONG,M,,1,0,Summer
1976.09.12.b,12-Sep-76,1976,USA,M,16.0,1,0,Summer
1976.09.12.a,12-Sep-76,1976,USA,M,,1,0,Summer
1976.09.06,06-Sep-76,1976,USA,M,15.0,0,0,Summer
1976.08.26,26-Aug-76,1976,USA,M,23.0,0,0,Summer
1976.08.24,24-Aug-76,1976,USA,M,19.0,0,0,Summer
1976.07.24,24-Jul-76,1976,USA,M,24.0,0,0,Summer
1976.07.21,21-Jul-76,1976,USA,M,10.0,0,0,Summer
1976.07.16,16-Jul-76,1976,USA,M,18.0,1,0,Summer
1976.07.12,12-Jul-76,1976,USA,M,23.0,0,0,Summer
1976.06.23,23-Jun-76,1976,USA,M,17.0,0,0,Spring
1976.06.10,10-Jun-76,1976,USA,M,,0,0,Spring
1976.06.02.R,Reported 02-Jun-1976,1976,ITALY,M,46.0,0,1,Spring
1976.06.01,01-Jun-76,1976,AUSTRALIA,F,,0,,Spring
1976.05.02,02-May-76,1976,SOUTH AFRICA,,,0,,Spring
1976.04.28,28-Apr-76,1976,USA,,,1,,Spring
1976.03.12.b,12-Mar-76,1976,USA,M,,0,0,Winter
1976.03.12.a,12-Mar-76,1976,SOUTH AFRICA,,,0,,Winter
1976.03.09,09-Mar-76,1976,SOUTH AFRICA,,,0,,Winter
1976.03.02,02-Mar-76,1976,SOUTH AFRICA,,,0,,Winter
1976.02.03,03-Feb-76,1976,SOUTH AFRICA,,,0,,Winter
1976.01.13,13-Jan-76,1976,SOUTH AFRICA,,,0,1,Winter
1976.01.12,12-Jan-76,1976,AUSTRALIA,F,,0,0,Winter
1976.01.11,11-Jan-76,1976,SOUTH AFRICA,,,0,1,Winter
1976.01.08,08-Jan-76,1976,USA,M,25.0,0,0,Winter
1976.01.02,02-Jan-76,1976,NEW ZEALAND,M,,1,0,Winter
1976.00.00.b,1976,1976,USA,M,,1,0,
1975.12.29,29-Dec-75,1975,AUSTRALIA,,,0,,Autnum
1975.12.06,06-Dec-75,1975,USA,M,27.0,0,0,Autnum
1975.12.02,02-Dec-75,1975,AUSTRALIA,M,35.0,0,1,Autnum
1975.11.19.b,19-Nov-75,1975,AUSTRALIA,M,20.0,0,0,Autnum
1975.11.19.a,19-Nov-75,1975,SOUTH AFRICA,M,33.0,0,0,Autnum
1975.11.07,07-Nov-75,1975,AUSTRALIA,M,,0,0,Autnum
1975.11.02,02-Nov-75,1975,USA,M,18.0,0,0,Autnum
1975.10.21,21-Oct-75,1975,USA,M,,0,,Autnum
1975.10.12,12-Oct-75,1975,AUSTRALIA,M,20.0,0,0,Autnum
1975.10.04,04-Oct-75,1975,USA,,,,,Autnum
1975.09.00,Sep-75,1975,SOUTH AFRICA,M,21.0,0,0,Summer
1975.08.17,17-Aug-75,1975,SOUTH AFRICA,M,19.0,0,0,Summer
1975.08.12,12-Aug-75,1975,USA,M,20.0,0,0,Summer
1975.08.09,09-Aug-75,1975,USA,M,44.0,0,0,Summer
1975.08.04,04-Aug-75,1975,HONG KONG,M,24.0,0,0,Summer
1975.07.30.b,30-Jul-75,1975,USA,F,62.0,1,0,Summer
1975.07.30.a,30-Jul-75,1975,AUSTRALIA,M,37.0,1,0,Summer
1975.07.26.b,26-Jul-1975.b,1975,USA,M,24.0,0,0,Summer
1975.07.26.a,26-Jul-75,1975,AUSTRALIA,M,21.0,0,0,Summer
1975.07.23,23-Jul-75,1975,USA,M,23.0,0,0,Summer
1975.07.19,19-Jul-75,1975,USA,M,34.0,0,0,Summer
1975.07.15,15-Jul-75,1975,USA,F,14.0,0,0,Summer
1975.07.05,05-Jul-75,1975,AUSTRALIA,M,29.0,0,1,Summer
1975.07.04,04-Jul-75,1975,USA,M,16.0,0,0,Summer
1975.06.23.b,23-Jun-75,1975,USA,M,18.0,0,0,Spring
1975.06.23.a,23-Jun-75,1975,USA,F,15.0,0,0,Spring
1975.06.15,15-Jun-75,1975,USA,M,27.0,0,0,Spring
1975.06.02.R,Reported 02-Jun-1975,1975,USA,M,20.0,0,0,Spring
1975.06.00.c,Jun-75,1975,USA,M,,0,1,Spring
1975.05.25,25-May-75,1975,USA,M,17.0,0,0,Spring
1975.05.20,20-May-75,1975,USA,F,10.0,0,0,Spring
1975.04.25,25-Apr-75,1975,ITALY,M,37.0,0,,Spring
1975.04.18,18-Apr-75,1975,SOUTH AFRICA,M,,1,,Spring
1975.04.05,05-Apr-75,1975,SOUTH AFRICA,M,,0,0,Spring
1975.03.29,29-Mar-75,1975,SOUTH AFRICA,M,,1,,Winter
1975.03.18,18-Mar-75,1975,AUSTRALIA,F,,0,0,Winter
1975.03.16,16-Mar-75,1975,USA,M,14.0,0,0,Winter
1975.03.13,13-Mar-75,1975,AUSTRALIA,,18.0,0,1,Winter
1975.03.09,09-Mar-75,1975,SOUTH AFRICA,M,,0,1,Winter
1975.03.00,Mar-75,1975,BANGLADESH,,,1,0,Winter
1975.02.23,23-Feb-75,1975,SOUTH AFRICA,M,16.0,0,0,Winter
1975.02.14.R,Reported 14-Feb-1975,1975,SOUTH AFRICA,,,0,,Winter
1975.02.10,10-Feb-75,1975,AUSTRALIA,M,12.0,1,0,Winter
1975.02.09,09-Feb-75,1975,AUSTRALIA,M,45.0,0,0,Winter
1975.02.07,07-Feb-75,1975,AUSTRALIA,M,,0,0,Winter
1975.02.01,01-Feb-75,1975,SOUTH AFRICA,M,12.0,0,1,Winter
1975.01.19,19-Jan-75,1975,AUSTRALIA,M,17.0,1,0,Winter
1975.00.00.b,1975,1975,BERMUDA,M,25.0,0,0,
1975.00.00.a,1975,1975,REUNION,M,,1,0,
1974.12.10,12-Dec-74,1974,AUSTRALIA,,32.0,0,0,Autnum
1974.11.01,01-Nov-74,1974,USA,M,24.0,0,0,Autnum
1974.09.28,28-Sep-74,1974,USA,M,17.0,0,0,Summer
1974.09.14,14-Sep-74,1974,USA,M,29.0,0,0,Summer
1974.09.07,07-Sep-74,1974,ISRAEL,F,20.0,0,0,Summer
1974.09.02.b,02-Sep-74,1974,USA,M,41.0,0,0,Summer
1974.09.02.a,02-Sep-74,1974,USA,M,48.0,0,0,Summer
1974.09.01,01-Sep-74,1974,AUSTRALIA,M,30.0,0,0,Summer
1974.09.00,Sep-74,1974,USA,M,24.0,0,0,Summer
1974.08.23,23-Aug-74,1974,HONG KONG,M,22.0,0,0,Summer
1974.08.16.c,16-Aug-74,1974,HONG KONG,M,,1,0,Summer
1974.08.16.b,16-Aug-74,1974,HONG KONG,M,19.0,0,0,Summer
1974.08.16.a,16-Aug-74,1974,HONG KONG,M,18.0,0,0,Summer
1974.08.10,10-Aug-74,1974,CROATIA,M,21.0,1,0,Summer
1974.08.05,05-Aug-74,1974,USA,M,,0,0,Summer
1974.07.26,26-Jul-74,1974,USA,M,36.0,0,0,Summer
1974.07.20,20-Jul-74,1974,USA,M,17.0,1,0,Summer
1974.07.02,02-Jul-74,1974,USA,M,10.0,1,0,Summer
1974.06.20,20-Jun-74,1974,USA,F,61.0,0,0,Spring
1974.05.26,26-May-74,1974,USA,M,45.0,0,0,Spring
1974.04.25.R,Reported 25-Apr-1974,1974,BRAZIL,M,,1,0,Spring
1974.04.20,20-Apr-74,1974,SOUTH AFRICA,M,22.0,0,0,Spring
1974.04.14,14-Apr-74,1974,SOUTH AFRICA,M,19.0,0,0,Spring
1974.04.12,12-Apr-74,1974,USA,F,11.0,0,0,Spring
1974.04.04,04-Apr-74,1974,SOUTH AFRICA,M,17.0,0,0,Spring
1974.03.21,21-Mar-74,1974,SOUTH AFRICA,M,21.0,0,0,Winter
1974.03.00,Mar-74,1974,SOUTH AFRICA,,,0,,Winter
1974.02.13.b,13-Feb-74,1974,SOUTH AFRICA,M,14.0,0,0,Winter
1974.02.13.a,13-Feb-74,1974,SOUTH AFRICA,M,19.0,0,0,Winter
1974.02.00.b,Feb-74,1974,SOUTH AFRICA,,,0,,Winter
1974.02.00.a,Early Feb-1974,1974,SOUTH AFRICA,,,0,,Winter
1974.01.13,13-Jan-74,1974,SOUTH AFRICA,M,42.0,0,0,Winter
1974.01.09,09-Jan-74,1974,AUSTRALIA,M,26.0,1,0,Winter
1974.01.07.c,07-Jan-74,1974,SOUTH AFRICA,M,33.0,0,0,Winter
1974.01.07.b,07-Jan-74,1974,MOZAMBIQUE,M,,1,0,Winter
1974.01.07.a,07-Jan-74,1974,MOZAMBIQUE,M,32.0,1,0,Winter
1974.00.00.b,Summer 1974,1974,AUSTRALIA,M,,0,0,
1974.00.00.a,1974,1974,CROATIA,,,1,0,
1973.12.25,25-Dec-73,1973,MOZAMBIQUE,M,41.0,0,0,Autnum
1973.12.21.b,21-Dec-73,1973,MOZAMBIQUE,M,20.0,1,0,Autnum
1973.12.19.R,Reported 18-Dec-1973,1973,PHILIPPINES,M,19.0,1,0,Autnum
1973.12.18,18-Dec-73,1973,USA,M,,0,0,Autnum
1973.12.00,Dec-73,1973,MEXICO,M,,1,0,Autnum
1973.11.25,25-Nov-73,1973,AUSTRALIA,,,0,0,Autnum
1973.11.24,24-Nov-73,1973,USA,M,13.0,0,0,Autnum
1973.11.03,03-Nov-73,1973,AUSTRALIA,,,0,0,Autnum
1973.09.29,29-Sep-73,1973,SOUTH AFRICA,,,1,0,Summer
1973.09.14,14-Sep-73,1973,BAHAMAS,M,11.0,0,0,Summer
1973.09.10.R,Reported 10-Sep-1973,1973,HONG KONG,M,20.0,1,0,Summer
1973.09.09,09-Sep-73,1973,MEXICO,M,37.0,1,0,Summer
1973.09.00,Sep-73,1973,EGYPT,M,,0,0,Summer
1973.08.27,27-Aug-73,1973,AUSTRALIA,,21.0,,0,Summer
1973.08.25,25-Aug-73,1973,AUSTRALIA,M,16.0,0,0,Summer
1973.08.16,16-Aug-73,1973,USA,M,17.0,0,0,Summer
1973.06.13,13-Jun-73,1973,HONG KONG,M,,0,0,Spring
1973.04.04,04-Apr-73,1973,MEXICO,M,45.0,1,0,Spring
1973.03.26,26-Mar-73,1973,AUSTRALIA,M,,0,0,Winter
1973.03.05,05-Mar-73,1973,MOZAMBIQUE,M,28.0,1,0,Winter
1973.03.00,Mar-73,1973,SOUTH AFRICA,M,26.0,0,0,Winter
1973.02.27,27-Feb-73,1973,MEXICO,,57.0,1,0,Winter
1973.01.21,21-Jan-73,1973,SOUTH AFRICA,M,,0,1,Winter
1973.01.09,09-Jan-73,1973,USA,M,,0,0,Winter
1973.00.00.c,1973,1973,PALAU,M,,0,0,
1973.00.00.b,1973,1973,PALAU,M,,0,0,
1973.00.00.a,1973,1973,SOUTH AFRICA,M,13.0,0,0,
1972.12.31,31-Dec-72,1972,SOUTH AFRICA,M,29.0,0,0,Autnum
1972.12.26,26-Dec-72,1972,MOZAMBIQUE,M,25.0,0,0,Autnum
1972.12.25,25-Dec-72,1972,MEXICO,M,17.0,1,0,Autnum
1972.12.24,24-Dec-72,1972,SOUTH AFRICA,M,,0,0,Autnum
1972.12.22,21-Dec-72,1972,AUSTRALIA,M,,0,0,Autnum
1972.12.08,08-Dec-72,1972,AUSTRALIA,,24.0,0,1,Autnum
1972.12.01,01-Dec-72,1972,REUNION,,,1,0,Autnum
1972.10.22,21-Oct-72,1972,AUSTRALIA,M,24.0,0,0,Autnum
1972.10.21,21-Oct-72,1972,AUSTRALIA,M,19.0,0,0,Autnum
1972.10.14.b,14-Oct-72,1972,USA,M,,1,0,Autnum
1972.10.14.a,14-Oct-72,1972,USA,M,17.0,0,0,Autnum
1972.10.10.R,Reported 10-Oct-1972,1972,NEW ZEALAND,M,17.0,0,0,Autnum
1972.09.09,09-Sep-72,1972,USA,M,,0,0,Summer
1972.09.04,04-Sep-72,1972,MOZAMBIQUE,F,20.0,0,,Summer
1972.08.29,29-Aug-72,1972,USA,M,15.0,0,0,Summer
1972.08.17,17-Aug-72,1972,USA,M,,0,0,Summer
1972.08.08,08-Aug-72,1972,AUSTRALIA,M,45.0,0,0,Summer
1972.07.05,05-Jul-72,1972,USA,,,0,,Summer
1972.06.26.b,Reported 26-Jun-1972,1972,AUSTRALIA,M,,1,0,Spring
1972.06.26.a,Reported 26-Jun-1972,1972,AUSTRALIA,M,,1,0,Spring
1972.06.10,10-Jun-72,1972,USA,M,22.0,0,0,Spring
1972.05.28,28-May-72,1972,USA,M,32.0,0,0,Spring
1972.05.06,06-May-72,1972,FRENCH POLYNESIA,M,27.0,0,0,Spring
1972.04.16,16-Apr-72,1972,WESTERN SAMOA,M,25.0,1,0,Spring
1972.04.01.b,01-Apr-72,1972,AUSTRALIA,F,,0,0,Spring
1972.04.01.a,01-Apr-72,1972,MOZAMBIQUE,M,19.0,1,0,Spring
1972.03.21,21-Mar-72,1972,,M,33.0,0,1,Winter
1972.03.16,16-Mar-72,1972,USA,M,,0,0,Winter
1972.02.20,20-Feb-72,1972,AUSTRALIA,M,18.0,0,0,Winter
1972.02.12,12-Feb-72,1972,AUSTRALIA,,,0,0,Winter
1972.01.01.c,01-Jan-72,1972,SOUTH AFRICA,M,20.0,1,0,Winter
1972.01.01.b,01-Jan-71,1972,SOUTH AFRICA,F,30.0,0,0,Winter
1972.01.01.a,01-Jan-71,1972,MOZAMBIQUE,M,24.0,0,0,Winter
1972.00.00.b,1972,1972,FRANCE,,,0,0,
1972.00.00.a,1972,1972,MARSHALL ISLANDS,M,,0,0,
1971.12.23,23-Dec-71,1971,AUSTRALIA,,22.0,0,0,Autnum
1971.12.16,16-Dec-71,1971,SOUTH AFRICA,F,16.0,0,0,Autnum
1971.12.05,05-Dec-71,1971,AUSTRALIA,M,20.0,1,0,Autnum
1971.11.27,Reported 25-Nov-1971,1971,HONG KONG,M,20.0,0,0,Autnum
1971.11.25.R,27-Oct-71,1971,AUSTRALIA,,20.0,0,1,Autnum
1971.10.23,23-Oct-71,1971,USA,M,18.0,0,0,Autnum
