case_number,date,year,country,sex,age,fatal,provoked,season
2015.06.19,19-Jun-15,2015,PUERTO RICO,M,36.0,0,0,Spring
2015.06.17,17-Jun-15,2015,USA,M,10.0,0,0,Spring
2015.06.14.b,14-Jun-15,2015,USA,M,16.0,0,0,Spring
2015.06.14.a,14-Jun-15,2015,USA,F,12.0,0,0,Spring
2015.06.13,13-Jun-15,2015,USA,F,,0,0,Spring
2015.06.11,11-Jun-15,2015,USA,F,13.0,0,0,Spring
2015.06.07,07-Jun-15,2015,USA,M,11.0,0,0,Spring
2015.06.05,05-Jun-15,2015,USA,F,17.0,0,0,Spring
2015.06.01,01-Jun-15,2015,REUNION,M,47.0,0,0,Spring
2015.05.29.b,29-May-15,2015,USA,F,14.0,0,0,Spring
2015.05.29.a,29-May-15,2015,USA,F,19.0,0,0,Spring
2015.05.25,25-May-15,2015,FRENCH POLYNESIA,M,19.0,0,0,Spring
2015.05.24,24-May-15,2015,USA,F,13.0,0,0,Spring
2015.05.20,20-May-15,2015,USA,M,18.0,0,0,Spring
2015.05.15,15-May-15,2015,USA,M,30.0,0,0,Spring
2015.05.09,09-May-15,2015,NEW CALEDONIA,M,50.0,1,0,Spring
2015.05.07,07-May-15,2015,USA,M,,0,0,Spring
2015.05.03,03-May-15,2015,AUSTRALIA,M,,0,0,Spring
2015.05.02,02-May-15,2015,SOUTH AFRICA,M,29.0,0,0,Spring
2015.04.29,29-Apr-15,2015,USA,F,65.0,1,0,Spring
2015.04.26,26-Apr-15,2015,USA,M,63.0,0,0,Spring
2015.04.25,25-Apr-15,2015,AUSTRALIA,M,26.0,0,0,Spring
2015.04.24.c,24-Jun-15,2015,AUSTRALIA,M,71.0,0,0,Spring
2015.04.13,13-Apr-15,2015,USA,M,48.0,0,0,Spring
2015.04.11,11-Apr-15,2015,AUSTRALIA,M,,0,0,Spring
2015.04.12,12-Apr-15,2015,REUNION,M,13.0,1,0,Spring
2015.03.31,31-Mar-15,2015,BRAZIL,M,23.0,0,,Winter
2015.04.03,03-Apr-15,2015,USA,M,70.0,0,0,Spring
2015.03.29,29-Mar-15,2015,ITALY,M,43.0,1,,Winter
2015.03.26,26-Mar-15,2015,SOUTH AFRICA,M,36.0,0,,Winter
2015.03.21,21-Mar-15,2015,EGYPT,M,52.0,1,0,Winter
2015.03.18,18-Mar-15,2015,USA,M,58.0,0,0,Winter
2015.03.16,16-Mar-15,2015,FRENCH POLYNESIA,M,9.0,0,0,Winter
2015.03.11,11-Mar-15,2015,AUSTRALIA,M,,0,,Winter
2015.03.10,10-Mar-15,2015,MEXICO,M,36.0,0,1,Winter
2015.03.07,07-Mar-15,2015,FRENCH POLYNESIA,M,,0,0,Winter
2015.02.15,15-Feb-15,2015,,,,0,,Winter
2015.02.14,14-Feb-15,2015,REUNION,F,22.0,1,0,Winter
2015.02.09,09-Feb-15,2015,AUSTRALIA,M,41.0,1,0,Winter
2015.02.08,08-Feb-15,2015,AUSTRALIA,M,35.0,0,0,Winter
2015.02.05,05-Feb-15,2015,AUSTRALIA,M,,0,0,Winter
2015.01.30,30-Jan-15,2015,AUSTRALIA,M,57.0,0,,Winter
2015.01.27,27-Jan-15,2015,USA,M,20.0,0,1,Winter
2015.01.24,24-Jan-15,2015,AUSTRALIA,M,,0,0,Winter
2015.01.19.b,19-Jan-15,2015,USA,M,,0,,Winter
