Date,Year,Type,Area,Location,Activity,Sex,Fatal (Y/N),Species
1942-01-01,1942,Boating,Tasmania,Off Big Friar Island,Unknown,M,N,
1942-01-01,1942,Unprovoked,Camiguin Island,2 kilometres off Sagay,Unknown,M,Y,
1942-01-01,1942,Boating,Western Cape Province,Simons Bay,Unknown,Unknown,N,
1942-01-01,1942,Boating,Western Cape Province,Simon's Bay,Unknown,Unknown,N,Shark
1942-01-01,1942,Unprovoked,Cay Sal Bank,Anchored off the largest island in the group,Unknown,M,N,Shark
1942-01-01,1942,Sea Disaster,Unknown,Unknown,Unknown,M,Y,
1942-01-01,1942,Sea Disaster,(Southwestern Pacific),Unknown,Unknown,M,N,
1942-01-01,1942,Sea Disaster,Unknown,Unknown,Unknown,M,N,Leopard Sharktiger Shark
1942-01-01,1942,Boating,Unknown,Unknown,Unknown,M,N,
1942-01-01,1942,Unprovoked,Panama City,Bella Vista Beach,Swimming,M,Y,
1941-12-07,1941,Sea Disaster,Unknown,Unknown,Unknown,Unknown,Y,Whitetip Sharkblue Sharktiger Sharkbull Shark
1941-12-03,1941,Unprovoked,Western Australia,Carnarvon,Swimming,M,N,
1941-11-27,1941,Sea Disaster,Off Libya,Unknown,Unknown,M,N,Tiger Shark
1941-11-27,1941,Sea Disaster,Off Libya,Unknown,Unknown,M,N,Tiger Shark
1941-11-24,1941,Sea Disaster,"North of Pernambuco, Brazil",Unknown,Unknown,Unknown,Y,
1941-11-19,1941,Sea Disaster,Western Australia,Shark Bay,Unknown,M,N,
1941-09-25,1941,Unprovoked,Unknown,125 nm north of Aruba,Unknown,M,Y,
1941-08-21,1941,Provoked,New York,Montauk,Fishing,Unknown,N,
1941-08-05,1941,Invalid,New South Wales,Parramata River,Swimming,M,Unknown,Shark
1941-08-01,1941,Unprovoked,South Carolina,Sullivan's Island at entrance to Charleston Harbor,Unknown,M,N,
1941-07-23,1941,Boating,New Jersey,"Brielle, Monmouth County (Offshore)",Unknown,Unknown,N,Mako Shark
1941-07-01,1941,Provoked,Hawaii,"Nankuli, O'ahu",Fishing,M,N,Shark
1941-06-15,1941,Provoked,New York,15 miles south of Jones Inlet,Unknown,M,N,Shark
1941-06-01,1941,Sea Disaster,Off coast of Ecuador,Between Esmeraldas & Salinas,Unknown,M,Y,
1941-03-24,1941,Sea Disaster,Unknown,750 miles off the African coast,Unknown,M,N,
1941-03-09,1941,Provoked,California,"Santa Monica, Los Angeles County",Fishing,M,N,Mako Sharkbonito Shark
1941-02-13,1941,Provoked,New South Wales,Wollongong,Fishing,M,N,
1941-02-01,1941,Provoked,Trelawney Province,Bogue (near Falmouth),Unknown,M,N,
1941-01-29,1941,Unprovoked,In Convoy OB 274,Off Sierra Leone,Unknown,M,N,
1941-01-01,1941,Sea Disaster,Unknown,Unknown,Unknown,M,Y,
1941-01-01,1941,Unprovoked,New Georgia,Munda,Unknown,M,N,
1941-01-01,1941,Unprovoked,Khuzestan Province,"Ahvaz, on the Karun River",Standing,M,Y,
1941-01-01,1941,Unprovoked,Khuzestan Province,"Ahvaz, on the Karun River",Unknown,M,Y,
1941-01-01,1941,Unprovoked,Khuzestan Province,"Ahvaz, on the Karun River",Unknown,M,N,
1941-01-01,1941,Unprovoked,Khuzestan Province,"Ahvaz, on the Karun River",Unknown,M,Y,
1941-01-01,1941,Unprovoked,Khuzestan Province,"Ahvaz, on the Karun River",Standing,M,Y,
1941-01-01,1941,Unprovoked,Unknown,"Gaire Village, between Rigo & Port Moresby",Unknown,M,N,
1940-12-28,1940,Unprovoked,New South Wales,"Stockton Beach, Newcastle",Unknown,M,Y,
1940-12-20,1940,Unprovoked,KwaZulu-Natal,"Inyoni Rocks, South Coast",Swimming,M,Y,
