Date,Year,Type,Area,Location,Activity,Sex,Fatal (Y/N),Species
1968-05-01,1968,Unprovoked,New Ireland Province,Unknown,Standing,M,N,
1968-04-29,1968,Invalid,Florida,"Fort Lauderdale, Broward County",Wading,M,Unknown,Shark
1968-04-20,1968,Unprovoked,Florida,"Palm Beach Shores, Riviera Beach, Singer Island, Palm Beach County",Unknown,M,N,Silky Shark
1968-04-15,1968,Unprovoked,New South Wales,South Coast,Unknown,M,N,Whaler Shark
1968-04-11,1968,Unprovoked,Gulf Province,Orokolo Bay,Swimming,M,Y,
1968-04-07,1968,Provoked,New South Wales,Stockton Bight,Unknown,M,N,
1968-03-25,1968,Unprovoked,KwaZulu-Natal,Richards Bay,Unknown,M,N,Shark
1968-03-10,1968,Unprovoked,Florida,"Jensen Beach, Martin County",Surfing,M,N,
1968-03-01,1968,Invalid,Florida,Florida Keys,Treading Water,M,Unknown,
1968-02-26,1968,Unprovoked,Florida,Palm Beach County,Surfing,M,N,
1968-02-20,1968,Unprovoked,Western Australia,Swan River,Swimming,F,N,
1968-02-18,1968,Provoked,North Island,"Pilot Bay, Mt Maunganui",Unknown,F,N,Shark
1968-02-04,1968,Unprovoked,South Australia,Cape Jervis,Spearfishing,M,N,Whaler Shark
1968-02-02,1968,Unprovoked,New South Wales,Brunswick Heads,Unknown,Unknown,N,
1968-02-01,1968,Unprovoked,Unknown,Unknown,Diving,Unknown,N,
1968-01-17,1968,Unprovoked,Morobe Province,Finschafen,Swimming,Unknown,Y,
1968-01-01,1968,Unprovoked,Limón Province,Parismina,Unknown,M,Y,
1968-01-01,1968,Invalid,Florida,"Key West, Monroe County",Diving,Unknown,Unknown,
1968-01-01,1968,Invalid,Florida,"Jensen Beach, Martin County",Surfing,Unknown,Unknown,
1967-12-30,1967,Unprovoked,Western Cape Province,Mossel Bay,Surfing,M,N,Shark
1967-12-21,1967,Invalid,Central Province,Port Moresby,Spearfishing,M,Unknown,
1967-12-18,1967,Unprovoked,Unknown,Unknown,Unknown,M,N,
1967-12-17,1967,Unprovoked,Victoria,"Cheviot Beach, Portsea, Port Phillip Bay",Swimming,M,Y,
1967-12-14,1967,Provoked,Unknown,Unknown,Unknown,M,N,
1967-11-30,1967,Provoked,New South Wales,Wollongong,Unknown,M,N,Nurse Shark
1967-11-30,1967,Unprovoked,Queensland,Surfer's Paradise,Unknown,M,N,Nurse Shark
1967-11-15,1967,Provoked,Unknown,Unknown,Unknown,M,N,
1967-11-04,1967,Sea Disaster,Rombion Province,Off Sibuyan Island,Unknown,Unknown,Y,
1967-11-01,1967,Invalid,KwaZulu-Natal,Brighton Beach,Unknown,F,Unknown,Shark
1967-10-26,1967,Unprovoked,Veracruz,Veracruz,Swimming,Unknown,Y,
1967-10-17,1967,Unprovoked,Florida,"McArthur Beach, Singer Island, Palm Beach Shores",Unknown,M,N,Blacktip Shark
1967-10-01,1967,Unprovoked,Unknown,Unknown,Swimming,M,N,
1967-09-20,1967,Invalid,Hawaii,"Kailua Bay, O'ahu",Unknown,M,Unknown,Shark
1967-09-13,1967,Provoked,Brindisi Province,Brindisi,Scuba Diving,M,Unknown,Shark
1967-09-07,1967,Provoked,New Ireland Province,Unknown,Diving,Unknown,Unknown,
1967-09-07,1967,Unprovoked,Florida,"Key West, Monroe County",Spearfishing,Unknown,N,
1967-09-06,1967,Unprovoked,New Ireland Province,Lambom Island,Spearfishing,M,Y,
1967-09-01,1967,Unprovoked,New Ireland Province,"Lamassa Island, 16 miles from Lambon Island",Spearfishing,M,Y,Shark
1967-08-27,1967,Provoked,California,Ventura,Unknown,M,N,Blue Shark
1967-08-26,1967,Unprovoked,Kagawa Prefecture,Sakaide,Unknown,M,Y,
1967-08-25,1967,Unprovoked,Liguria,"Marinella Sarzana, La Spezia",Unknown,M,N,
1967-08-19,1967,Unprovoked,Western Australia,Jurien Bay,Unknown,M,Y,White Shark
1967-08-15,1967,Unprovoked,Hamilton,Hamilton,Unknown,F,N,
1967-08-14,1967,Unprovoked,Unknown,Unknown,Unknown,M,N,
1967-08-10,1967,Invalid,New South Wales,Jervis Bay,Unknown,M,Unknown,Shark
1967-08-07,1967,Unprovoked,Florida,Near Key West,Spearfishing,M,N,Nurse Shark
1967-08-01,1967,Unprovoked,Out Islands,Andros Island,Unknown,M,N,Sandbar Shark
1967-08-01,1967,Unprovoked,Cap Vert Peninsula,Hann,Unknown,M,N,Shark
1967-07-29,1967,Unprovoked,Florida,Florida Keys,Snorkeling,M,N,
1967-07-05,1967,Unprovoked,Mugla Province,Kucukada Island,Spearfishing,M,Y,
1967-07-01,1967,Invalid,South Carolina,Unknown,Surfing,M,Unknown,
1967-06-13,1967,Provoked,Florida,"Key West, Monroe County",Spearfishing,M,N,Nurse Shark
1967-06-01,1967,Provoked,Sicily,Stretto di Messina,Unknown,M,N,White Shark
1967-05-13,1967,Provoked,South Australia,Outer Harbor,Unknown,M,N,Whaler Shark
1967-05-09,1967,Provoked,Unknown,Aquarium,Unknown,M,N,Nurse Shark
1967-04-01,1967,Provoked,Gibraltar,Unknown,Fishing,M,N,
1967-03-20,1967,Provoked,North Island,Leigh,Unknown,M,N,
1967-03-19,1967,Unprovoked,KwaZulu-Natal,Paradise Reef,Spearfishing,M,N,White Shark
1967-03-12,1967,Provoked,Victoria,Geelong,Spearfishing,M,N,Nurse Shark
1967-03-10,1967,Invalid,New South Wales,"Dover Heights, Sydney",Unknown,Unknown,Unknown,Shark
1967-03-09,1967,Unprovoked,South Island,St. Kilda Beach,Unknown,M,Y,White Shark
1967-03-01,1967,Unprovoked,New Britain,"Barawon Beach, near Rabaul",Unknown,M,N,Shark
1967-02-06,1967,Sea Disaster,Veracruz,Cabo Rojo,Unknown,M,Y,
1967-01-27,1967,Boating,Western Cape Province,Melkbosstrand,Unknown,Unknown,N,White Sharkthresher Shark
1967-01-22,1967,Provoked,Western Cape Province,Whittle Rock False Bay,Unknown,M,N,Sandtiger Shark
1967-01-21,1967,Unprovoked,Bay of Maputo,Xefina Island,Unknown,M,N,
1967-01-06,1967,Provoked,Victoria,Goolwa,Unknown,M,N,Sand Shark
1966-12-31,1966,Unprovoked,Tasmania,"Piccaninny Point, 10 miles from Bicheno",Fishing,M,N,Shark
1966-12-27,1966,Provoked,New South Wales,South West Rocks,Spearfishing,M,N,Nurse Shark
1966-12-27,1966,Unprovoked,New South Wales,Trial Bay,Spearfishing,M,N,Nurse Shark
1966-12-26,1966,Unprovoked,Unknown,Singapore,Wading,M,N,
1966-12-26,1966,Unprovoked,New South Wales,Coogee,Spearfishing,M,N,Shark
1966-11-14,1966,Unprovoked,Unknown,Unknown,Unknown,Unknown,Unknown,
1966-11-01,1966,Unprovoked,New Ireland Province,Unknown,Unknown,F,Y,Shark
1966-10-30,1966,Unprovoked,New Ireland Province,"Lamassa Island, 16 miles from Lambom Island",Swimming,F,Y,Shark
1966-10-29,1966,Unprovoked,New Ireland Province,"Mission Beach, Lambon Island, near Duke of York Islands",Bathing,F,Y,Shark
1966-09-27,1966,Unprovoked,Queensland,"Broomfield Island, 11 miles from Heron Island on the Great Barrier Reef",Unknown,M,N,Whaler Shark
1966-09-19,1966,Provoked,Hawaii,50 miles NE of Honolulu,Fishing,M,N,
1966-09-18,1966,Invalid,Western Australia,"Little Beach Reef, Bremer Bay",Spearfishing,M,Unknown,
1966-09-13,1966,Provoked,Western Australia,Albany,Spearfishing,M,Unknown,
1966-09-10,1966,Unprovoked,Western Australia,Roe Reef off Rottnest Island,Spearfishing,M,N,Mako Shark
1966-09-08,1966,Provoked,Florida,"Florida Keys, Monroe County",Unknown,M,N,Nurse Shark
1966-09-01,1966,Invalid,Bimini Islands,Tongue of the Ocean,Unknown,M,Unknown,
1966-08-28,1966,Boating,Northern Territory,Darwin Harbour,Unknown,M,N,
1966-08-27,1966,Invalid,KwaZulu-Natal,Durban,Unknown,M,Unknown,
1966-08-27,1966,Unprovoked,Bimini Islands,Unknown,Snorkeling,F,N,
1966-08-21,1966,Unprovoked,Duke of York Islands,"Butliwan Village, 15 miles north of Rabaul",Swimming,F,Y,Shark
1966-08-21,1966,Unprovoked,Duke of York Islands,"Butliwan Village, 15 miles north of Rabaul",Unknown,F,Y,Shark
1966-08-16,1966,Unprovoked,Primorje-Gorski Kotar County,Bakar,Swimming,M,Y,White Shark
1966-08-14,1966,Unprovoked,Unknown,Ye Leow,Unknown,M,N,Shark
1966-08-13,1966,Unprovoked,Taranto province,"Pulsano, near Taranto",Unknown,M,N,Small Shark
1966-08-01,1966,Invalid,Delaware,Fenwick Island,Unknown,M,Unknown,
1966-08-01,1966,Unprovoked,Florida,"Municipal Bathing area, Riviera Beach, Palm Beach County",Wading,M,N,Blacktip Shark
1966-07-31,1966,Unprovoked,Texas,"South Jetty, Galveston",Unknown,M,N,Lemon Sharksandtiger Shark
1966-07-19,1966,Provoked,South Carolina,"Folly Beach, Charleston County",Unknown,M,N,Shark
1966-07-17,1966,Unprovoked,Texas,"Point Comfort, Calhoun County",Fishing,M,N,
1966-07-17,1966,Unprovoked,Northern Taiwan,Tamsui Beach,Swimming,M,Y,
1966-07-14,1966,Unprovoked,"Admiralty Islands, Manus Province",Manus Island,Swimming,F,Y,
1966-07-03,1966,Invalid,Florida,"Key Biscayne, Miami, Dade County",Free Diving,M,Unknown,
1966-07-02,1966,Boating,Unknown,Between USA & Cuba,Unknown,Unknown,N,
1966-06-22,1966,Provoked,New Jersey,"Reeds Bay, Brigantine, Atlantic County",Unknown,M,N,For Sharksandbar Shark
1966-06-11,1966,Provoked,Florida,"Ft. Lauderdale, Broward County",Fishing,M,N,Hammerhead Shark
1966-06-04,1966,Unprovoked,Texas,Bolivar Peninsula,Swimming,M,N,Small Shark
1966-06-02,1966,Provoked,Society Islands,Tahiti,Fishing,M,N,
1966-05-20,1966,Sea Disaster,New South Wales,Jervis Bay,Unknown,M,Y,
1966-05-20,1966,Unprovoked,New South Wales,Bellingen,Fishing,M,N,Shark
1966-05-20,1966,Sea Disaster,Unknown,7 miles offshore on east coast of Australia,Unknown,M,Y,White Sharkshark
1966-05-16,1966,Invalid,Florida,"Fernandina Beach, Nassau County",Unknown,M,Unknown,
1966-05-16,1966,Sea Disaster,Unknown,Off Cebu,Unknown,M,Y,
1966-04-08,1966,Unprovoked,Puerto Rico,Unknown,Swimming,M,N,
1966-04-01,1966,Sea Disaster,New South Wales,"Botany Bay, Sydney",Unknown,M,N,
1966-03-20,1966,Provoked,New South Wales,Maroubra,Unknown,Unknown,N,White Shark
1966-03-12,1966,Sea Disaster,Red Sea,Unknown,Unknown,M,Y,
1966-02-27,1966,Unprovoked,New South Wales,Coledale Beach,Treading Water,M,N,White Shark
1966-01-29,1966,Provoked,Western Cape Province,Strandfontein Beach,Unknown,M,N,Copper Shark
1966-01-25,1966,Sea Disaster,North Sumatra,Near Belawan,Unknown,Unknown,Y,
1966-01-22,1966,Unprovoked,California,"Pebble Beach, Cypress Point, Monterey County",Unknown,M,N,White Shark
1966-01-15,1966,Unprovoked,New South Wales,Bellambi,Spearfishing,M,N,Wobbegong Shark
1966-01-14,1966,Sea Disaster,Unknown,Off Cartagena,Unknown,Unknown,Y,Shark
1966-01-11,1966,Unprovoked,Eastern Cape Province,Riet River,Standing,M,N,Zambesi Shark
1966-01-10,1966,Unprovoked,Western Australia,Woodman Point,Unknown,M,N,Carpet Shark
1966-01-09,1966,Unprovoked,KwaZulu-Natal,Umkomaas,Body Surfing,M,N,Shark
1966-01-08,1966,Unprovoked,North Island,"Oakura Beach, Taranaki",Body Surfing,F,Y,
1966-01-05,1966,Unprovoked,Florida,"Hollywood, Broward County",Swimming,M,N,Hammerhead Shark
1966-01-01,1966,Invalid,California,"Huntington Beach, Orange County",Unknown,F,Unknown,Shark
1965-12-28,1965,Unprovoked,Western Australia,"Bathurst Reef, Rottnest Island",Unknown,M,N,Carpet Shark
1965-12-19,1965,Unprovoked,Unknown,Unknown,Unknown,M,N,Reef Shark
1965-12-10,1965,Boating,South Australia,Cape Jervis,Fishing,Unknown,N,Shark
1965-11-21,1965,Provoked,Queensland,Near Brisbane,Unknown,M,Y,Shark
1965-11-21,1965,Unprovoked,"250 miles southwest of O'ahu, Hawaii",Japanese fishing boat Taihei Maru No.10,Unknown,M,N,
1965-11-03,1965,Invalid,Caribbean Sea,Golfo de los Mosquitos,Unknown,Unknown,Unknown,Shark
1965-11-03,1965,Unprovoked,Queensland,Oak Beach,Surfing,M,N,Nurse Shark
1965-10-21,1965,Unprovoked,Unknown,Florida Strait,Unknown,M,N,
1965-10-16,1965,Unprovoked,New Providence Island,Nassau,Unknown,M,N,Shark
1965-10-16,1965,Unprovoked,New Providence Island,Nassau,Unknown,F,Y,Shark
1965-10-10,1965,Unprovoked,West coast,"Outside the reef off Moputu Village, near Talasea",Unknown,M,Y,Shark
1965-10-01,1965,Unprovoked,New Britain,Unknown,Wading,M,N,
1965-09-21,1965,Provoked,Madang Province,Sek Harbor,Unknown,M,N,Small Shark
1965-09-12,1965,Provoked,East Sepik,Moem Village near Wewak,Unknown,M,N,Shark
1965-09-08,1965,Unprovoked,Veracruz,Playa Villa del Mar,Unknown,M,N,Shark
1965-08-30,1965,Invalid,Unknown,"Grounded off Scarborough Shoals, 150 miles northwest of Manila in the South China Sea",Unknown,M,Unknown,Shark
1965-08-26,1965,Unprovoked,New Jersey,"Steel Pier, Atlantic City, Atlantic County",Swimming,M,N,
1965-07-30,1965,Provoked,Bimini Islands,Lerner Marine Lab,Unknown,M,N,Lemon Shark
1965-07-26,1965,Unprovoked,Veracruz,Mocambo,Bathing,M,Y,
1965-07-02,1965,Boating,Hamilton,Unknown,Unknown,Unknown,N,
1965-06-19,1965,Invalid,Florida,"In front of Key Biscayne Beach Club, Key Biscayne",Wading,M,Unknown,
1965-06-18,1965,Invalid,Florida,150 miles southeast of Cape Kennedy,Unknown,M,Unknown,
1965-06-09,1965,Unprovoked,Veracruz,Mocambo,Swimming,M,N,
1965-06-01,1965,Unprovoked,Near Bougainville (North Solomons),Huhunoti Island,Spearfishing,M,N,
1965-06-01,1965,Unprovoked,Unknown,Unknown,Treading Water,M,Y,
1965-05-29,1965,Unprovoked,Veracruz,Playa Mocambo,Swimming,M,Y,
1965-05-28,1965,Unprovoked,Veracruz,Playa Mocambo,Swimming,M,Y,
1965-05-01,1965,Unprovoked,Unknown,Unknown,Standing,M,N,
1965-05-01,1965,Unprovoked,Unknown,Unknown,Diving,M,N,
1965-05-01,1965,Unprovoked,Veracruz,Mocambo,Swimming,M,N,
1965-04-29,1965,Unprovoked,Florida,"Hobe Sound, Martin County",Unknown,M,N,Bull Shark
1965-04-25,1965,Invalid,California,"Pacifica, San Mateo County",Surfing,M,Unknown,
1965-04-10,1965,Unprovoked,Florida,American Shoals off Key West,Spearfishing,M,N,White Shark
1965-04-04,1965,Unprovoked,Western Caroline Islands,Koror,Unknown,M,N,Tiger Shark
1965-04-04,1965,Unprovoked,Florida,"Juno Beach, Palm Beach County",Unknown,M,N,Spinner Shark
1965-03-23,1965,Invalid,Puerto Rico,60 miles offshore north of San Juan,Unknown,M,Unknown,Shark
1965-03-14,1965,Unprovoked,Florida,"Pompano Beach, Palm Beach County",Free Diving,M,N,Mako Shark
1965-02-14,1965,Unprovoked,KwaZulu-Natal,Amatikulu,Treading Water,M,N,Shark
1965-02-04,1965,Unprovoked,Massachusetts,"Granite Pier, Rockport",Scuba Diving,M,N,Shark
1965-01-25,1965,Invalid,California,"Newport Beach, Orange County",Unknown,M,Unknown,Shark
1965-01-23,1965,Unprovoked,KwaZulu-Natal,"Country Club Beach, Durban",Unknown,M,N,White Shark
1965-01-16,1965,Unprovoked,KwaZulu-Natal,"Country Club Beach, Durban",Body Surfing,M,N,
1965-01-10,1965,Unprovoked,Victoria,"East of Station Pier, Port Melbourne",Swimming,M,N,Shark
1965-01-09,1965,Unprovoked,Central Province,Off Gaire Village,Free Diving,M,Y,
1965-01-01,1965,Unprovoked,Texas,"Port Lavaca, Calhoun County",Unknown,M,N,
1965-01-01,1965,Provoked,California,"Dana Point, San Clemente, Orange County",Surfing,M,N,
1965-01-01,1965,Provoked,Florida,"Between Palm& Salerno Inlets, Martin County",Unknown,M,N,Nurse Shark
1965-01-01,1965,Unprovoked,East of the Gulf of Aqaba,Unknown,Unknown,M,N,Small Shark
1965-01-01,1965,Unprovoked,Unknown,South of Hurghada,Unknown,M,N,Sharkmako Shark
1965-01-01,1965,Unprovoked,Malampa Province,Island of Paam'a,Unknown,M,Y,
1965-01-01,1965,Invalid,Eastern Cape Province,Pollock Beach,Unknown,Unknown,Unknown,
1964-12-25,1964,Unprovoked,Eastern Cape Province,Port Alfred,Swimming,M,N,Raggedtooth Shark
1964-12-10,1964,Unprovoked,Bougainville (North Solomons),Buka Island,Unknown,M,N,
1964-12-10,1964,Boating,New South Wales,Port Jervis,Fishing,Unknown,N,Shark
1964-12-09,1964,Unprovoked,Bougainville (North Solomons),"Off Sing Village, Buka Island",Unknown,M,N,Shark
1964-12-06,1964,Unprovoked,Coast Province,"Kilindini Harbor, Mombasa",Unknown,M,Y,
1964-11-29,1964,Unprovoked,Victoria,Lady Julia Percy Island,Unknown,M,N,White Shark
1964-11-18,1964,Unprovoked,Queensland,"Fingal Beach, near Tweed Heads",Unknown,M,Y,
1964-11-13,1964,Provoked,New South Wales,"North Solitary Island, 8 miles from Wolli",Unknown,M,N,White Shark
1964-11-05,1964,Boating,Puerto Rico,Unknown,Unknown,Unknown,N,Mako Shark
1964-10-31,1964,Provoked,KwaZulu-Natal,Umkomaas,Unknown,M,N,
1964-10-25,1964,Invalid,Florida,"Near US Air Force Base at Elgin, Okaloosa County",Unknown,Unknown,Unknown,
1964-10-04,1964,Unprovoked,Western Australia,"Avalon Beach, near Mandurah, 50 miles south of Perth",Unknown,M,N,Nurse Shark
1964-09-27,1964,Invalid,Unknown,Unknown,Spearfishing,M,Unknown,Shark
1964-09-20,1964,Unprovoked,Northern Taiwan,"Tamsui Beach, Taipai",Swimming,M,Y,
1964-09-07,1964,Unprovoked,Northern Taiwan,Tamsui Beach,Swimming,M,N,Shark
1964-08-26,1964,Unprovoked,Florida,"Hollywood Beach, Broward County",Swimming,M,N,
1964-08-23,1964,Unprovoked,Guerrero,Acapulco,Unknown,M,N,Shark
1964-08-22,1964,Invalid,Florida,5 miles south of Palm Beach,Unknown,M,Unknown,
1964-08-21,1964,Unprovoked,Florida,"Panama City, Bay County",Swimming,M,N,Shark
1964-08-08,1964,Unprovoked,Florida,"2 miles off Jupiter, Palm Beach County",Unknown,M,N,Hammerhead Shark
1964-08-03,1964,Unprovoked,Okayama Prefecture,Saidaiji,Swimming,M,N,
1964-08-01,1964,Unprovoked,San Blas,Off Achutuppu Island near Ailigandi,Unknown,M,N,
1964-07-27,1964,Provoked,Puerto Rico,Unknown,Unknown,M,N,Nurse Shark
1964-07-16,1964,Unprovoked,KwaZulu-Natal,Island Rock,Unknown,M,N,Zambesi Shark
1964-07-15,1964,Invalid,Connecticut,"3 days out of Old Saybrook, Connecticut, 37.04'N, 67.57'W, Southern fringe of Gulf Stream",Unknown,Unknown,Unknown,
1964-07-10,1964,Invalid,KwaZulu-Natal,Island Rock,Spearfishing,M,Y,
1964-07-08,1964,Provoked,Florida,"Palm Beach, Palm Beach County",Unknown,M,N,White Shark
1964-07-01,1964,Unprovoked,New Ireland Province,A reef off New Hanover (Northern end),Unknown,M,Y,
1964-07-01,1964,Boating,New Ireland Province,Southern end,Unknown,Unknown,N,
1964-06-29,1964,Sea Disaster,Hamilton,2 miles south of Castle Island Harbour entrance to Hamilton,Unknown,Unknown,Y,
1964-06-28,1964,Invalid,New York,Long Island,Unknown,F,Unknown,Shark
1964-06-24,1964,Boating,California,"Long Beach, Los Angeles County",Fishing,Unknown,N,Shark
1964-06-17,1964,Boating,New Britain,Near Rabaul,Fishing,M,N,Shark
1964-06-23,1964,Unprovoked,Lau Group,"Tovu, Totoya Island",Spearfishing,M,N,
1964-06-02,1964,Invalid,KwaZulu-Natal,Port Edward,Swimming,M,Unknown,Shark
1964-05-30,1964,Unprovoked,Caribbean Coast,Unknown,Standing,M,N,Lemon Shark
1964-05-08,1964,Unprovoked,Vita Levu,Naviti,Spearfishing,M,Y,Tiger Shark
1964-05-01,1964,Unprovoked,San Blas Islands,"Achutupu, a small island ner Ailigandi",Unknown,M,Y,Shark
1964-04-07,1964,Unprovoked,Madang Province,Inshore side of reef near Madang,Fishing,M,Y,
1964-03-28,1964,Unprovoked,South Australia,Surfers Paradise Beach near Victor Harbour,Surfing,M,N,Shark
1964-03-28,1964,Sea Disaster,Central Province,30 miles from Port Moresby,Unknown,M,Y,
1964-03-05,1964,Unprovoked,Florida,"Fort Lauderdale, Broward County",Unknown,M,N,Shark
1964-03-01,1964,Unprovoked,Cap Vert Peninsula,"Bel Air, Dakar",Unknown,M,N,Shark
1964-02-17,1964,Provoked,Unknown,Savuli Reef,Fishing,Unknown,N,Tiger Shark
1964-02-14,1964,Unprovoked,Unknown,Unknown,Unknown,M,Y,
1964-02-14,1964,Unprovoked,Vanua Levu,"Nailou Village, Tunuloa Natewa Bay",Spearfishing,M,Y,
1964-02-11,1964,Unprovoked,North Island,"Palliser Bay, Whatarangi (east of Wellington)",Unknown,M,N,
1964-02-10,1964,Unprovoked,North Island,"West of Pukerua Bay, Wellington",Spearfishing,M,N,White Shark
1964-02-08,1964,Unprovoked,Western Cape Province,Muizenberg,Body Boarding,M,N,White Shark
1964-02-05,1964,Unprovoked,North Island,"Hokio Beach, near Levin",Unknown,M,N,Sand Shark
1964-02-05,1964,Unprovoked,South Island,"St. Clair Beach, Dunedin",Swimming,M,Y,White Shark
1964-02-02,1964,Invalid,Queensland,Brisbane,Swimming,M,Unknown,Shark
1964-02-01,1964,Boating,South Island,"Ngatuka Bay, near Picton",Unknown,Unknown,N,Shark
1964-02-01,1964,Unprovoked,Florida,Palm Beach County,Unknown,M,N,Hammerhead Shark
1964-02-01,1964,Unprovoked,Puntarenas Province,Puntarenas,Swimming,M,Y,
1964-01-27,1964,Unprovoked,Unknown,70 miles from Suva,Spearfishing,Unknown,Y,
1964-01-23,1964,Unprovoked,Eastern Cape Province,Nahoon,Body Surfing,M,N,
1964-01-22,1964,Unprovoked,Eastern Cape Province,Nahoon,Standing,M,N,
1964-01-21,1964,Boating,Western Cape Province,20 m from shore at Strand,Unknown,Unknown,N,White Shark
1964-01-18,1964,Unprovoked,Western Australia,Hamelin Bay,Unknown,M,N,
1964-01-11,1964,Unprovoked,California,Southeast Farallon Island,Unknown,M,N,White Shark
1964-01-06,1964,Unprovoked,New Britain,Unknown,Fishing,M,Y,Tiger Shark
1964-01-04,1964,Unprovoked,"Lomaloma, Lau",Tuvuca Isalnd,Swimming,F,N,
1964-01-01,1964,Unprovoked,Western Australia,Metro coast,Unknown,Unknown,Unknown,
1964-01-01,1964,Unprovoked,Western Cape Province,Mossel Bay,Unknown,M,N,Shark
1964-01-01,1964,Invalid,North Island,White Island,Snorkeling,M,Unknown,
1963-12-29,1963,Unprovoked,KwaZulu-Natal,"Catfish Rock, between Salt Rock & Shakas Rock",Standing,F,N,Zambesi Shark
1963-12-26,1963,Unprovoked,KwaZulu-Natal,Umhlanga Rocks,Swimming,M,N,Shark
1963-12-26,1963,Unprovoked,Queensland,"Figtree Ledge, Hervey Bay",Unknown,M,N,Shark
1963-12-25,1963,Unprovoked,Eastern Cape Province,Gonubie River Mouth,Swimming,M,Y,
1963-12-22,1963,Invalid,Between Southampton & Canary Islands,Unknown,Unknown,F,Unknown,
1963-12-22,1963,Provoked,KwaZulu-Natal,"Next to West Street groyne, Durban",Unknown,M,N,Dusky Shark
1963-12-21,1963,Provoked,New South Wales,"Woolgoolga, Coffs Harbour",Fishing,M,N,Wobbegong Shark
1963-12-20,1963,Unprovoked,Western Cape Province,Hartenbos,Spearfishing,M,N,White Shark
1963-12-20,1963,Unprovoked,KwaZulu-Natal,Umvoti,Unknown,M,Y,Zambesi Shark
1963-12-08,1963,Unprovoked,South Australia,55 miles south of Adelaide,Spearfishing,M,N,White Shark
1963-12-04,1963,Unprovoked,"South Coast, East New Britain",Pomio,Spearfishing,M,Y,Tiger Shark
1963-11-30,1963,Unprovoked,South Island,"Charteris Bay, Lyttleton Harbour",Unknown,M,N,Gill Shark
1963-11-30,1963,Provoked,Gulf Province,"Kukipi, 150 miles west of Port Moresby in the Lakekamu River area",Unknown,F,N,Tiger Shark
1963-11-28,1963,Unprovoked,Lau Province,"Dravuwalu, Totoya Island",Fishing,F,N,Tiger Shark
1963-11-25,1963,Unprovoked,Vita Levu,Rewa River,Unknown,M,N,
1963-11-16,1963,Unprovoked,Sicily,Off Mondello Lighthouse,Spearfishing,M,N,
1963-11-14,1963,Provoked,Queensland,Mermaid Beach,Unknown,M,N,White Shark
1963-11-12,1963,Provoked,Florida,"8 miles south of Elliot Key, Miami-Dade County",Unknown,M,N,Silky Shark
1963-11-05,1963,Unprovoked,New Britain,Unknown,Wading,M,N,Shark
1963-11-04,1963,Unprovoked,Western Caroline Islands,Koror,Fishing,M,N,
1963-10-16,1963,Unprovoked,Florida,"Biltmore Beach, near Panama City",Unknown,M,N,Shark
1963-10-15,1963,Provoked,Unknown,Unknown,Unknown,M,N,
1963-09-29,1963,Unprovoked,Unknown,"El Panul, 12km south of Coquimbo",Unknown,M,Y,White Shark
1963-09-26,1963,Invalid,Florida,100 miles offshore,Unknown,Unknown,Unknown,
1963-09-22,1963,Unprovoked,Ysabel Island,Susukana Plantation,Unknown,M,Y,Shark
1963-09-13,1963,Provoked,New South Wales,Wanda Beach,Surfing,M,N,Shark
1963-09-10,1963,Provoked,Florida,"Snapper Point Jetty, Miami, Dade County",Unknown,M,N,Nurse Shark
1963-08-01,1963,Unprovoked,Santo Domingo,Rio Haina Port,Unknown,M,Y,Shark
1963-07-28,1963,Unprovoked,Eastern Caroline Islands,"Koop Reef, Truk (Chuuk)",Spearfishing,M,N,Tiger Shark
1963-07-15,1963,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Bathing,M,N,
1963-07-11,1963,Provoked,Mississippi,Horn Island,Unknown,M,N,Shark
1963-07-10,1963,Sea Disaster,Unknown,Unknown,Unknown,Unknown,Y,
1963-07-01,1963,Unprovoked,San Blas coast,"4 miles from Tuwala, near Mulatuppu",Unknown,M,Y,
1963-06-01,1963,Unprovoked,Thessaly,near Trikerion Island,Swimming,F,Y,White Shark
1963-06-01,1963,Provoked,Central Province,Near Fisherman's Island,Fishing,M,N,Shark
1963-05-18,1963,Invalid,California,San Mateo County,Swimming,M,Unknown,Shark
1963-05-14,1963,Sea Disaster,Luzon Island,100 miles southeast of Manila,Unknown,Unknown,Y,
1963-04-22,1963,Provoked,New South Wales,Clarence Head,Fishing,M,N,Nurse Shark
1963-04-20,1963,Unprovoked,US Virgin Islands,"St. Thomas, Magens Bay",Swimming,M,Y,Galapagos Shark
1963-04-17,1963,Unprovoked,KwaZulu-Natal,Amanzimtoti,Swimming,M,N,
1963-04-13,1963,Unprovoked,Western Australia,Yallingup,Unknown,M,N,Shark
1963-04-12,1963,Unprovoked,Hawaii,"Awili, South Kona, Hawai'i",Surfing,M,N,Shark
1963-04-08,1963,Invalid,Hawaii,"Hapuna Beach, Hawai'i",Unknown,M,Unknown,Shark
1963-03-30,1963,Sea Disaster,Bougainville (North Solomons),Unknown,Unknown,M,Y,
1963-02-27,1963,Unprovoked,New Ireland Province,Namatanai,Swimming,M,N,
1963-02-24,1963,Unprovoked,New South Wales,Wombarra Beach near Austinmeer,Spearfishing,M,N,Whaler Shark
1963-02-08,1963,Unprovoked,LomaivitiIsland Group,"Taibaisa Passage, Gau Island",Spearfishing,M,N,White Shark
