,Year,Month,Time_Day,Country,Activity,Sex,Fatal_Injury,Age
3360,1966,February,Noon,Australia,Treading water,M,N,13
3361,1966,January,Noon,South africa,Helping men land a shark,M,N,33
3362,1966,January,Unknown,Indonesia,Wreck of the state oil company ship permina,Unknown,Y,Unknown
3363,1966,January,Morning,Usa,Free diving,M,N,29
3364,1966,January,Unknown,Australia,Spearfishing,M,N,30
3365,1966,January,Unknown,Columbia,Colombian  avianca dc 4 airliner plunged into the sea 5 minutes after takeoff,Unknown,Y,Unknown
3366,1966,January,Morning,South africa,Standing,M,N,16
3367,1966,January,Unknown,Australia,Jumped into the water,M,N,43
3368,1966,January,Noon,South africa,Body surfing,M,N,15
3369,1966,January,Afternoon,New zealand,Body surfing,F,Y,15
3370,1966,January,Afternoon,Usa,Swimming,M,N,35
3371,1966,Unknown,After lunc,Usa,Walking,F,N,15
3372,1965,December,Unknown,Australia,Spearfishing,M,N,40
3373,1965,December,Noon,Johnston island,Freediving,M,N,Unknown
3374,1965,December,Morning,Australia,Fishing,Unknown,N,Unknown
3375,1965,November,Unknown,Australia,Fishing,M,Y,43
3376,1965,November,Evening,Pacific ocean ,Hauling dead shark aboard when another shark leapt out of the water  bit him,M,N,44
3377,1965,November,Morning,Panama,Argentine air force c 54,Unknown,Y,Unknown
3378,1965,November,Afternoon,Australia,Surfing,M,N,24
3379,1965,October,Unknown,Unknown,The boat caribou ii sank,M,N,39
3380,1965,October,Unknown,Bahamas,Sunbathing on beach when he saw child being attacked by the shark,M,N,32
3381,1965,October,Unknown,Bahamas,Playing in the water,F,Y,Unknown
3382,1965,October,Unknown,New britain,Spearfishing,M,Y,15
3383,1965,October,Unknown,Papua new guinea,Wading,M,N,27
3384,1965,Septembrer,Unknown,Papua new guinea,Spearing fish,M,N,Unknown
3385,1965,Septembrer,Noon,Papua new guinea,Fishing,M,N,Unknown
3386,1965,Septembrer,Afternoon,Mexico,Unknown,M,N,23
3387,1965,August,Unknown,Philippines,Arsinoe a french tanker,M,Y,Unknown
3388,1965,August,Afternoon,Usa,Swimming,M,N,15
3389,1965,July,Unknown,Bahamas,Attempting to anesthetize shark,M,N,Unknown
3390,1965,July,Afternoon,Mexico,Bathing,M,Y,25
3391,1965,July,Unknown,Bermuda,Unknown,Unknown,N,Unknown
3392,1965,June,Unknown,Usa,Wading,M,N,6
3393,1965,June,Unknown,Usa,Diving,M,N,Unknown
3394,1965,June,Noon,Mexico,Swimming,M,N,38
3395,1965,June,Unknown,Papua new guinea,Spearfishing,M,N,Unknown
3396,1965,June,Morning,South pacific ocean,Treading water,M,Y,Unknown
3397,1965,May,Noon,Mexico,Swimming,M,Y,Unknown
3398,1965,May,Unknown,Mexico,Swimming,M,Y,Unknown
3399,1965,May,Unknown,Egypt,Standing,M,N,Unknown
3400,1965,May,Unknown,Jamaica,Diving,M,N,Unknown
3401,1965,May,Unknown,Mexico,Swimming,M,N,35
3402,1965,April,Afternoon,Usa,Unknown,M,N,49
3403,1965,April,Afternoon,Usa,Surfing,M,Y,19
3404,1965,April,Noon,Usa,Spearfishing,M,N,28
3405,1965,April,Afternoon,Palau,Walking,M,N,8
3406,1965,April,Morning,Usa,Paddling on surfboard,M,N,17
3407,1965,March,Noon,Usa,Aircraft exploded,M,N,Unknown
3408,1965,March,Noon,Usa,Free diving,M,N,16
3409,1965,February,Afternoon,South africa,Treading water,M,N,25
3410,1965,February,Noon,Usa,Scuba diving,M,N,18
3411,1965,January,Unknown,Usa,Motor boat rebel belle lost,M,Y,21
3412,1965,January,Noon,South africa,Paddling rescue ski,M,N,22
3413,1965,January,Afternoon,South africa,Body surfing,M,N,20
3414,1965,January,Unknown,Australia,Swimming,M,N,Unknown
3415,1965,January,Unknown,New guinea,Free diving,M,Y,30
3416,1965,Unknown,Unknown,Usa,Dangling feet in the water,M,N,13
3417,1965,Unknown,Unknown,Usa,Surfing,M,N,Unknown
3418,1965,Unknown,Unknown,Usa,Collecting marine specimens,M,N,Unknown
3419,1965,Unknown,Unknown,Red sea,Standing,M,N,Unknown
3420,1965,Unknown,Unknown,Egypt,Spearfishing,M,N,25
3421,1965,Unknown,Unknown,Vanuatu,Unknown,M,Y,Unknown
3422,1965,Unknown,Unknown,South africa,Bather,Unknown,Unknown,Unknown
3423,1964,December,Afternoon,South africa,Swimming,M,N,19
3424,1964,December,Unknown,Papua new guinea,Unknown,M,N,Unknown
3425,1964,December,Morning,Australia,Fishing,Unknown,N,Unknown
3426,1964,December,Afternoon,Papua new guinea,Canoe swamped swimming back to canoe,M,N,28
3427,1964,December,Unknown,Kenya,Fishing,M,Y,10
3428,1964,November,Noon,Australia,Free diving,M,N,25
3429,1964,November,Noon,Australia,Swimming,M,Y,29
3430,1964,November,Unknown,Australia,Filming underwater carrying powerhead,M,N,25
3431,1964,November,Afternoon,Usa,Longline fishing,Unknown,N,Unknown
3432,1964,October,Unknown,South africa,Surf fishing,M,N,Unknown
3433,1964,October,Night,Usa,Boat miss becky sank 12 miles from shore,Unknown,N,Unknown
3434,1964,October,Morning,Australia,Surfing,M,N,19
3435,1964,Septembrer,Noon,Unknown,Spearfishing,M,Unknown,24
3436,1964,Septembrer,Noon,Taiwan,Swimming,M,Y,32
3437,1964,Septembrer,Noon,Taiwan,Swimming,M,N,20
3438,1964,August,Noon,Usa,Swimming,M,N,14
3439,1964,August,Noon,Mexico,Floating on his back in an inner tube,M,N,19
3440,1964,August,Noon,Usa,Spearfishing,M,N,18
3441,1964,August,Noon,Usa,Swimming,M,N,Unknown
3442,1964,August,Noon,Usa,Spearfishing,M,N,28
3443,1964,August,Unknown,Japan,Swimming,M,N,12
3444,1964,August,Unknown,Panama,Free diving,M,N,21
3445,1964,July,Noon,Usa,Unknown,M,N,22
3446,1964,July,Unknown,South africa,Searching for remains of dr marais,M,N,30
3447,1964,July,Unknown,Usa,Yacht gooney bird foundered 4 survivors on raft,Unknown,N,Unknown
3448,1964,July,Unknown,South africa,Spearfishing,M,Y,52
3449,1964,July,Unknown,Usa,Tagging sharks,M,N,Unknown
3450,1964,July,Unknown,Papua new guinea,Standing,M,Y,Unknown
3451,1964,July,Unknown,Papua new guinea,Canoeing,Unknown,N,Unknown
3452,1964,June,Unknown,Bermuda,Conducting a promotional film project for the gemini space program a practice astronaut recovery ,Unknown,Y,Unknown
3453,1964,June,Night,Usa,Attempting to swim across the atlantic ocean,F,Y,29
3454,1964,June,Unknown,Usa,Fishing,Unknown,N,Unknown
3455,1964,June,Unknown,Papua new guinea,Fishing,M,N,Unknown
3456,1964,June,Unknown,Fiji,Spearfishing,M,N,23
3457,1964,June,Afternoon,South africa,Swimming,M,Y,40
3458,1964,May,Unknown,Panama,Standing,M,N,47
3459,1964,May,Noon,Fiji,Spearfishing,M,Y,35
3460,1964,May,Unknown,Panama,Skin diving,M,Y,13
3461,1964,April,Unknown,Papua new guinea,Fishing,M,Y,Unknown
3462,1964,March,Unknown,Australia,Surfing,M,N,19
3463,1964,March,Night,Papua new guinea,Canoe capsized with 10 occupants 8 survived  hamilton swam off to seek help,M,Y,32
3464,1964,March,Afternoon,Usa,Skin diving ,M,N,38
3465,1964,March,Unknown,Senegal,Free diving,M,N,Unknown
3466,1964,February,Unknown,Fiji,Fishing,Unknown,N,Unknown
3467,1964,February,Unknown,New caledonia,Diving,M,Y,15
3468,1964,February,Morning,Fiji,Spearfishing,M,Y,17
3469,1964,February,Noon,New zealand,Preparing to go skin diving,M,N,Unknown
3470,1964,February,Afternoon,New zealand,Spearfishing,M,N,26
3471,1964,February,Morning,South africa,Body boarding,M,N,25
3472,1964,February,Unknown,New zealand,Lying in 2 feet of water,M,N,Unknown
3473,1964,February,Morning,New zealand,Swimming,M,Y,19
3474,1964,February,Morning,Australia,Swimming,M,Y,23
3475,1964,February,Noon,New zealand,Rowing,Unknown,N,Unknown
3476,1964,February,Unknown,Usa,Floating,M,N,12
3477,1964,February,Unknown,Costa rica,Swimming,M,Y,Unknown
3478,1964,January,Unknown,Fiji,Spearfishing,Unknown,Y,Unknown
3479,1964,January,Afternoon,South africa,Body surfing,M,N,39
3480,1964,January,Noon,South africa,Standing,M,N,17
3481,1964,January,Noon,South africa,Shark watching,Unknown,N,Unknown
3482,1964,January,Unknown,Australia,Freediving,M,N,Unknown
3483,1964,January,Noon,Usa,Spearfishing,M,N,21
3484,1964,January,Unknown,Papua new guinea,Fishing,M,Y,Unknown
3485,1964,January,Afternoon,Fiji,Swimming,F,N,20
3486,1964,January,Unknown,Australia,Unknown,Unknown,Unknown,Unknown
3487,1964,January,Evening,South africa,Diving,M,N,Unknown
3488,1964,January,Morning,New zealand,Snorkeling,M,N,Unknown
3489,1963,December,Noon,South africa,Standing,F,N,20
3490,1963,December,Afternoon,South africa,Swimming,M,N,24
3491,1963,December,Dawn,Australia,Sitting on gunwale of boat,M,N,Unknown
3492,1963,December,Afternoon,South africa,Swimming,M,Y,18
3493,1963,December,Unknown,Atlantic ocean,Greek steamship lakonia caught fire 98 of her 646 passengers and 30 of her crew of 376 perished,F,N,Unknown
3494,1963,December,Afternoon,South africa,Helping friend land hooked shark,M,N,13
3495,1963,December,Unknown,Australia,Fishing,M,N,Unknown
3496,1963,December,Noon,South africa,Spearfishing,M,N,Unknown
3497,1963,December,Noon,South africa,Splashing in surf,M,Y,15
3498,1963,December,Noon,Australia,Spearfishing,M,N,23
3499,1963,December,Unknown,New britain,Spearfishing,M,Y,22
3500,1963,November,Noon,New zealand,Treading water,M,N,20
3501,1963,November,Noon,Papua new guinea,Fishing,F,N,18
3502,1963,November,Noon,Fiji,Fishing,F,N,21
3503,1963,November,Noon,Fiji,Spearing fish,M,N,25
3504,1963,November,Unknown,Italy,Spearfishing,M,N,28
3505,1963,November,Unknown,Australia,Catching sharks under government contract,M,N,Unknown
3506,1963,November,Noon,Usa,Testing anti shark cage,M,N,Unknown
3507,1963,November,Unknown,Papua new guinea,Wading,M,N,Unknown
3508,1963,November,Night,Palau,Fishing,M,N,35
3509,1963,October,Afternoon,Usa,Surf fishing wading ,M,N,28
3510,1963,October,Unknown,North pacific ocean,Fishing,M,N,20
3511,1963,Septembrer,Noon,Chile,Spearfishing,M,Y,Unknown
3512,1963,Septembrer,Unknown,Usa,Commercial fishing vessel ev nn struck object  sank ken crosby and jame  ann dumas adrift on makeshift raft ,Unknown,Y,25
3513,1963,Septembrer,Noon,Solomon islands,Spearing fish,M,Y,30
3514,1963,Septembrer,Morning,Australia,Surfing,M,N,18
3515,1963,Septembrer,Noon,Usa,Spearfishing,M,N,16
3516,1963,August,Unknown,Dominican republic,Swimming,M,Y,23
3517,1963,July,Morning,Federated states of micronesia,Spearfishing,M,N,26
3518,1963,July,Afternoon,Usa,Bathing,M,N,14
3519,1963,July,Unknown,Usa,Fishing,M,N,24
3520,1963,July,Unknown,Jamaica,63 fishing boat sno bay foundered,Unknown,Y,Unknown
3521,1963,July,Unknown,Panama,Seining for bait standing in chest deep water,M,Y,Unknown
3522,1963,June,Afternoon,Greece,Swimming,F,Y,42
3523,1963,June,Morning,Papua new guinea,Fishing,M,N,30
3524,1963,May,Unknown,Usa,Swimming,M,N,Unknown
3525,1963,May,Unknown,Philippines,Boat with 42 passengers onboard capsized in rough seas,Unknown,Y,Unknown
3526,1963,April,Unknown,Australia,Fishing,M,N,Unknown
3527,1963,April,Noon,Usa,Swimming,M,Y,25
3528,1963,April,Noon,South africa,Swimming,M,N,15
3529,1963,April,Unknown,Australia,Surfing,M,N,25
3530,1963,April,Noon,Usa,Surfing,M,N,15
3531,1963,April,Unknown,Usa,Washed into sea while picking opihi,M,Y,Unknown
3532,1963,March,Night,Solomon islands,The 500 ton coastal trader polurrian foundered ,M,Y,Unknown
3533,1963,February,Noon,Papua new guinea,Swimming,M,N,Unknown
3534,1963,February,Noon,Australia,Spearfishing,M,N,18
3535,1963,February,Morning,Fiji,Spearfishing,M,N,28
3536,1963,February,Unknown,Mauritius,Unknown,M,N,24
3537,1963,February,Unknown,Usa,S s marine sulphur queen laden with molten sulphur was bound from beaumont texas for norfolk va when she disappeared with 39 on board,M,Y,Unknown
3538,1963,January,Unknown,Fiji,Freediving,M,N,41
3539,1963,January,Noon,Australia,Wading,F,Y,32
3540,1963,January,Afternoon,Australia,Swimming,M,Y,25
3541,1963,January,Unknown,South africa,Fishing,Unknown,N,Unknown
3542,1963,January,Noon,New zealand,Fishing,Unknown,N,14
3543,1963,January,Unknown,South africa,Fishing,M,N,Unknown
