Year,Country,Sex,Activity,Type,Fatal
2015,French Polynesia,M,Sitting in the water,Unprovoked,N
2015,Atlantic Ocean,Unkown,Transatlantic Rowing,Boat,N
2015,Reunion,F,Swimming,Unprovoked,Y
2015,Australia,M,Surfing,Unprovoked,Y
2015,Australia,M,Surfing,Unprovoked,N
2015,Australia,M,Bodysurfing,Unprovoked,N
2015,Australia,M,Rowing,Boat,N
2015,USA,M,Shark fishing,Provoked,N
2015,Australia,M,Surfing,Unprovoked,N
2015,USA,M,Fishing,Boat,N
2015,Australia,F,Surfing & filming dolphins,Invalid,N
2015,Australia,M,Fishing,Boat,N
2015,Australia,M,Filming,Unprovoked,N
2015,USA,M,Swimming after falling overboard,Invalid,N
2015,Bahamas,F,Snorkeling,Unprovoked,N
2015,South Africa,M,Surfing,Unprovoked,N
2015,USA,M,,Unprovoked,N
2014,Australia,Unkown,Surfing,Unprovoked,N
2014,Australia,M,Spearfishing,Unprovoked,Y
2014,Greece,Unkown,,Sea Disaster,N
2014,South Africa,Unkown,Swimming,Invalid,N
2014,USA,M,Surfing,Unprovoked,N
2014,Australia,M,Fishing,Provoked,N
2014,Japan,M,Diving / Filming,Unprovoked,N
2014,Australia,M,Spearfishing,Unprovoked,Y
2014,Spain,M,Fishing for blue sharks,Provoked,N
2014,Australia,M,Surfing,Unprovoked,N
2014,Mauritius,M,Fishing,Provoked,Y
2014,Australia,M,Fishing,Boat,N
2014,USA,M,Surfing,Unprovoked,N
2014,USA,Unkown,,Boat,N
2014,USA,M,Snorkeling,Unprovoked,N
2014,Australia,M,Surfing,Unprovoked,N
2014,USA,M,Surfing,Unprovoked,N
2014,USA,F,Surfing,Unprovoked,N
2014,Australia,M,Surfing,Provoked,N
2014,USA,F,Stand-Up Paddleboarding,Unprovoked,N
2014,USA,M,Stand-Up Paddleboarding,Unprovoked,N
2014,USA,F,Canoeing,Boat,N
2014,USA,M,Surfing,Unprovoked,N
2014,Australia,F,Surfing,Unprovoked,N
2014,USA,F,Standing in inner tube,Unprovoked,N
2014,USA,F,Body surfing or Boogie boarding,Unprovoked,N
2014,USA,F,Fishing,Unprovoked,N
2014,Australia,M,Kayaking,Boat,N
2014,USA,M,Surfing,Unprovoked,N
2014,USA,M,Surfing,Unprovoked,N
2014,USA,M,Kayaking,Boat,N
2014,USA,M,Kayaking ,Boat,N
2014,USA,M,Surfing,Unprovoked,N
2014,Australia,M,Surfing,Unprovoked,N
2014,USA,M,Surfing,Unprovoked,N
2014,French Polynesia,F,Feeding fish,Unprovoked,N
2014,USA,M,Surfing,Invalid,N
2014,Australia,M,Swimming,Unprovoked,Y
2014,USA,M,Fishing ,Unprovoked,N
2014,USA,F,Kayaking ,Unprovoked,N
2014,USA,M,Fishing,Provoked,N
2014,Spain,M,Playing with an air mattress,Unprovoked,N
2014,USA,F,Body surfing,Unprovoked,N
2014,USA,M,Surfing,Unprovoked,N
2014,USA,Unkown,,Invalid,N
2014,USA,M,Fishing,Provoked,N
2014,Spain,F,Swimming,Unprovoked,N
2014,USA,M,Surfing,Unprovoked,N
2014,USA,F,Standing,Unprovoked,N
2014,USA,M,Fishing for sharks,Provoked,N
2014,USA,Unkown,Kite boarding,Unprovoked,N
